CompletionTime_us,FlowSize_B,FCT_us
121350,1893,297
121444,16581,502
121531,23329,402
121594,55976,158
121706,38386,467
121796,60976,958
121803,492791,535
121855,72275,640
121893,76160,1886
121957,397003,13668
121979,52562,512
122081,3491,303
122084,68233,2584
122204,73222,2335
122221,67281,1840
122269,46815,586
122380,24159,489
122478,726546,19275
122514,38432,415
122530,54865,673
122558,25973,357
122561,23763,111
122677,869893,1004
122686,24086,111
122691,141432,3350
122766,176398,1000
122798,1295527,1369
122880,11510,271
123066,1400704,1618
123079,21477,427
123119,25598,490
123148,43864,513
123151,5912,286
123251,107076,3998
123265,999383,16065
123359,17080,467
123405,686199,15841
123516,837,287
123556,151818,4223
123558,47109,149
123822,512095,6938
123868,11488,265
123960,24287,505
123974,32564,668
123977,49708,1266
123982,1462,278
124002,2676,312
124018,1685,196
124089,24512,516
124114,26271,458
124130,41805,874
124142,23537,584
124185,22022,366
124228,36720,807
124293,6183,282
124394,31010,580
124419,2024,206
124700,26595,392
124724,23851,358
124758,8644,281
124791,8211,291
124860,198625,5790
125001,35087,907
125001,30936,444
125062,42332,932
125090,306760,4575
125153,1082580,21049
125231,67481,1561
125293,79488,1617
125395,15751,354
125488,24772,112
125526,640275,14103
125563,19791,109
125625,464337,8074
125682,7231,328
125688,175411,835
125711,61045,576
125799,29645140,25799
125873,18473,107
126154,2115,196
126163,3905,64
126188,71839,1246
126255,70918,1286
126379,245515,331
126437,34722,436
126450,48668,639
126463,2603,251
126477,1442491,18982
126537,9315,320
126750,18303,399
127134,9069,292
127179,824647,868
127241,38557,124
127313,1956,281
127452,541106,24759
127465,744537,763
127579,1087637,1186
127589,70700,774
127658,876364,12295
127678,5867,256
127852,4086,250
127939,9223,248
128026,67500,687
128191,180688,1800
128528,23416,432
128536,712,231
128565,51899,788
128829,3128,278
128855,1426442,25650
128987,359,197
129071,24467,513
129161,26538,614
129285,1656911,29285
129290,62969,1750
129443,1013480,19750
129451,24844,506
129687,834092,23075
129726,1217,220
129743,59469,1449
129756,1481289,26026
129757,34824,516
129830,99977,1416
129898,47254,1179
129902,27762,392
129975,14964,490
130062,22157,447
130112,1585446,21680
130138,45985,1044
130169,76174,3381
130227,4049,256
130277,48016,670
130356,3696,280
130425,574,300
130453,21845,500
130479,6898,362
130492,3700,452
130606,86084,2407
130663,72525,170
130673,3248275,30673
130691,132368,3300
130703,1150989,1167
130733,14105,236
130786,11500,319
130844,46355,654
130878,20819,465
131160,49969,1215
131319,3213,300
131366,27251,392
131367,6547,66
131394,106089,4016
131402,76172,774
131470,543750,11807
131500,16785,449
131501,395427,7186
131528,50878,1936
131715,5240,211
131819,719792,14293
131822,26036,540
131831,2605,206
131896,6123,330
132213,22668,372
132233,31590,737
132266,73623,666
132316,22004,516
132331,1954126,2605
132544,14726,367
132586,68069,825
132592,8020922,7020
132766,3681,194
132821,840694,17562
132825,78576,1850
132914,1228012,21173
132932,31085,429
132958,38821,127
132986,22747,113
133031,7887,203
133094,51047,1761
133111,13411,79
133255,1329291,33255
133256,1108352,26714
133396,20348,416
133472,48927,623
133575,3911,284
133599,767193,9469
133616,41684,1179
133627,27837,649
133743,8275,291
133774,1339045,29886
133853,171907,267
133921,41690,1213
133931,119599,2411
133933,21754,449
133970,53195,2607
134027,1716569,28782
134183,60965,1342
134226,81852,1153
134269,5018,313
134384,1917507,20353
134424,685,382
134439,604,264
134507,91286,564
134647,4824055,4769
134650,35434,863
134663,1486,324
134727,1079782,18707
134837,1176,249
134911,23808,417
134919,199695,6155
134958,59030,3403
135034,12670,225
135038,61295,166
135094,16516,464
135094,34260,784
135203,845521,15749
135277,1533544,35277
135380,27510,644
135481,1318112,35481
135521,78854,3009
135541,439298,10599
135548,5931,253
135812,206642,7683
135845,28405,453
135966,43676,128
136030,74658,2045
136374,2548137,24317
136383,3179,320
136387,5539,274
136435,321577,10686
136461,26133,472
136507,23913,440
136536,5976,345
136698,24690,434
136924,28646,682
137062,9257,249
137071,90642,1083
137090,20965,497
137091,1535018,37091
137196,581003,7789
137278,728644,14868
137307,7694,293
137556,289,259
137594,21842,543
137600,2500,270
137635,66943,1766
137652,157413,3268
137818,10813,266
137951,336,271
138002,48343,594
138022,48640,1694
138148,6868,207
138172,49584,1115
138198,2032,188
138283,4308366,4429
138420,2595309,38420
138618,19812,486
138621,8759,355
138825,20099,446
138826,8397,281
138877,23383,465
138986,2999592,38986
139065,1377377,39065
139096,29148,459
139250,44021,1341
139293,2528,238
139357,571022,16476
139442,2309,261
139523,10694,275
139536,338223,8147
139561,1096012,2046
139574,2438338,25338
139610,132928,3995
139628,5312,200
139674,79231,2602
139697,101974,3970
139937,47906,251
140036,70304,2108
140124,1615,277
140255,6172,255
140386,3775,250
140835,1620820,39749
140854,11582,251
140953,29525,617
141014,28468041,26603
141349,55649,1076
141393,63231,775
141449,43907,614
141535,45876,1196
141607,2843844,41210
141636,44770,148
141830,3964181,36159
141841,114941,3353
141842,51479,699
141892,274338,520
142028,179862,6473
142049,2679223,3192
142050,4885,184
142114,3119,169
142176,978,291
142271,76628,910
142286,34416,471
142300,1101145,3249
142348,15252,365
142496,1965,240
142501,120529,7708
142568,9892,259
142596,773471,795
142671,38343,1155
142775,25578,113
142831,805128,10397
142867,26816,733
142877,25151,112
142900,1746761,31117
142947,28313,481
142957,97743,2659
142989,433534,11793
143015,38504,430
143129,14532,74
143133,53113,765
143272,37945,446
143315,365524,462
143426,72820,989
143538,946453,34325
143563,36555,122
143596,55020,744
143769,6679,285
143784,11055,359
143955,560199,21561
144171,42635,1258
144224,19952,428
144238,45264,148
144257,6358,253
144287,4266,218
144320,75937,2456
144406,20504,440
144414,68866,821
144546,23847,513
144563,45423,656
144709,1767949,1690
144796,9958,266
144815,4051738,4246
144889,8908,236
144936,58540,1755
145100,9695,248
145142,6341511,5962
145211,1877587,33635
145247,120438,212
145550,29264,663
145568,70344,650
145635,4094,341
145644,30302,666
145651,38,300
145761,1608912,39920
145818,398602,453
145826,156837,1200
145885,27308,714
145976,2816,343
146029,4905,228
146137,26684,619
146141,7331,270
146185,23359,111
146204,85601,185
146284,65410,2611
146290,62446,759
146292,63175,1423
146294,42979,1059
146418,22118,485
146436,70891,680
146459,31271,546
146531,51728,744
146602,65551,2008
146603,778765,26977
146627,194032,5331
146642,71551,1844
146691,11734,325
146801,39842,363
146857,3858,294
146969,1591815,43056
147016,71944,2064
147132,31303,539
147224,14775,483
147243,146125,3133
147256,53862,729
147345,14347,282
147505,19753,108
147551,28765,764
147586,31445,688
147593,28036,834
147600,20698,614
147611,1233315,30351
147644,23780,628
147730,15101,573
147746,1089169,18338
147807,43336,128
147865,24473,112
147978,3813,224
148033,35480,829
148081,37490,130
148132,2350495,35195
148239,43611,1481
148452,34125,952
148506,39694,1179
148563,1253,221
148863,398245,8441
148894,5982,234
148895,995624,33978
148990,395343,21788
149131,46770,1220
149153,1959271,45239
149220,70831,2087
149222,71150,981
149454,35843,542
149462,30553,684
149495,1602065,38829
149538,1916,327
149574,47507,1194
149589,950204,26457
149752,6338,333
149765,24837,503
149838,4911,331
149863,4391,248
149955,27492,590
149993,129462,945
150054,73829,2265
150105,966983,29276
150224,195368,2611
150261,183757,7801
150267,29658,692
150272,79757,2190
150479,40993,879
150677,528372,782
150835,1088087,23779
150851,1090889,17625
151123,4310869,11004
151261,118143,4678
151364,175944,9214
151524,2296280,37510
151542,26394354,26811
151573,695363,19591
151574,126115,5074
151662,449044,15324
151944,79709,2216
152218,73042,2612
152256,1757987,33655
152964,4667441,4785
153299,207080,6110
153402,4752764,4346
153599,2303850,53599
153788,882183,18559
153843,196637,9561
154859,1204906,27873
155426,635629,7694
