CompletionTime_us,FlowSize_B,FCT_us
121419,6796,454
121527,54164,2703
121594,55976,157
121649,1585446,13217
121693,16581,752
121758,67281,1377
121805,492791,537
121871,38386,632
122093,377313,12270
122110,60976,1272
122116,72275,902
122118,23329,990
122201,3491,423
122286,469878,12168
122384,910849,13530
122528,53213,1996
122561,23763,111
122564,1164613,22564
122627,38432,528
122633,127338,4333
122647,306760,2132
122686,24159,795
122686,24086,112
122690,869893,1018
122692,73222,2823
122719,1329291,22719
122785,1441543,22785
122799,46815,1117
122801,1630292,22801
122815,25973,614
122841,1295527,1412
122992,11510,383
123034,54865,1177
123063,1400704,1614
123230,76160,3224
123313,3248275,23313
123351,1608912,17510
123353,25598,725
123365,5912,499
123375,52562,1908
123458,176398,1692
123539,21477,887
123542,837,313
123558,47109,150
123599,1339045,19711
123628,17080,736
123864,36720,444
123931,11488,328
123947,32564,641
123978,41805,721
124009,2676,319
124064,49708,1352
124096,1462,392
124116,24512,543
124178,23537,620
124214,1377377,24214
124264,26271,607
124295,24287,840
124322,1685,500
124339,1426442,21134
124354,22022,535
124412,79488,736
124460,43864,1825
124528,6183,518
124627,2024,414
124672,31010,858
124879,35087,785
125089,8211,590
125178,23851,812
125184,30936,627
125244,8644,767
125287,42332,1157
125368,742428,13639
125460,29645140,25460
125491,1656911,25491
125497,24772,121
125517,26595,1209
125564,19791,109
125626,7231,272
125631,571022,2750
125810,198625,6740
125825,15751,785
125873,18473,107
125875,61045,740
125876,1119600,25876
125986,464337,8435
126035,70918,1066
126163,3905,64
126172,71839,1229
126202,175411,1349
126269,2115,310
126330,640275,14907
126377,245515,328
126379,67481,2709
126503,2603,290
126691,9315,474
126731,34722,729
126829,48668,1017
127070,18303,719
127153,824647,843
127242,38557,125
127283,9069,441
127460,744537,758
127483,1956,451
127536,395427,3222
127582,1087637,1190
127711,5867,288
127932,321577,2183
127973,70700,1158
128006,4086,404
128111,834092,21499
128132,9223,441
128484,603720,16530
128489,2999592,28489
128579,62969,1039
128744,712,439
128818,23416,722
128884,3964181,23213
128926,3128,375
129083,359,293
129404,24467,846
129462,26538,916
129576,76174,2788
129604,51899,1827
129951,24844,1007
130049,1013480,20356
130082,99977,1668
130137,22157,522
130146,1217,640
130158,67500,2819
130202,14964,718
130338,27762,827
130351,4049,381
130406,3696,330
130442,48016,835
130448,34824,1207
130536,6898,418
130544,574,420
130578,3700,538
130632,21845,680
130664,72525,170
130694,1150989,1158
130757,59469,2463
130789,1228012,19047
130790,11500,323
130856,14105,359
131042,50878,1450
131049,1716569,25804
131097,45985,2004
131113,49969,1168
131175,20819,762
131335,47254,2616
131365,686199,23800
131367,6547,66
131404,512095,14521
131439,3213,420
131586,86084,3387
131704,27251,730
131781,16785,730
131857,1954126,2131
131895,5240,391
131896,6123,330
131999,2605,375
132000,26036,718
132079,106089,4701
132242,1442491,24747
132358,76172,1730
132455,46355,2266
132576,8020922,7004
132621,22004,820
132642,22668,801
132652,73623,1052
132666,1318112,32666
132695,132368,5303
132759,31590,1263
132762,68069,1002
132874,1741955,31801
132885,180688,6494
132959,38821,128
132983,22747,110
132983,14726,807
133000,3681,429
133130,31085,627
133147,13411,115
133184,41684,747
133305,7887,477
133454,1535018,33454
133528,845521,14074
133549,20348,569
133642,27837,664
133716,3911,424
133730,53195,2367
133792,338223,2403
133847,8275,395
133855,171907,270
133878,41690,1170
133953,51047,2619
133962,60965,1120
134129,21754,644
134312,78576,3337
134331,1959271,30417
134376,685,334
134459,5018,503
134506,1079782,18486
134635,35434,848
134635,604,461
134680,48927,1831
134715,1486,375
134744,1591815,30831
134859,4824055,4981
134898,1176,310
135019,91286,1076
135032,61295,161
135194,12670,385
135242,119599,3722
135327,59030,3772
135336,23808,842
135443,34260,1133
135498,81852,2426
135522,16516,892
135664,74658,1679
135675,2438338,21438
135780,5931,484
135966,43676,129
135989,560199,13595
136009,27510,1273
136028,78854,3515
136298,1917507,22267
136334,28405,941
136446,5539,333
136528,3179,465
136606,5976,414
136613,2296280,22600
136618,26133,628
136630,946453,27417
136866,66943,997
137028,23913,961
137084,24690,820
137189,132928,1574
137226,90642,1238
137235,28646,993
137297,20965,704
137348,9257,535
137522,1108352,30980
137593,7694,579
137717,2500,387
137794,289,496
137910,21842,859
138139,336,459
138170,10813,618
138250,4308366,4395
138251,49584,1194
138274,79231,1202
138333,728644,15923
138478,719792,20952
138479,2032,469
138551,6868,610
138574,48640,2245
138624,543750,18961
138863,8759,596
138894,439298,13952
138912,1096012,1397
138987,19812,855
139044,199695,10279
139120,8397,576
139138,804361,5289
139183,23383,770
139221,70304,1293
139299,20099,920
139389,29148,751
139427,1942081,39427
139479,2528,424
139556,10694,308
139636,767193,15506
139639,2309,458
139767,778765,20141
139789,5312,360
139856,114941,1368
139900,48343,2492
139940,882183,4711
139969,47906,282
140158,395343,12957
140202,120529,5409
140301,1615,454
140320,44021,2412
140383,101974,4656
140410,6172,410
140592,3775,457
140602,2595309,40602
140618,840694,25360
140647,206642,12519
140722,449044,4384
140803,28468041,26392
140806,179862,5252
140926,433534,9730
141119,29525,783
141147,11582,543
141248,157413,6864
141340,97743,1043
141470,1402912,41470
141636,44770,148
141795,45876,1456
141879,2679223,3022
141905,43907,1070
142140,274338,768
142165,51479,1023
142228,4885,361
142314,3119,369
142324,38343,808
142329,1101145,3278
142425,978,540
142479,63231,1862
142590,34416,775
142601,773471,801
142659,55649,2387
142712,9892,402
142742,1965,486
142750,75937,885
142778,25578,115
142795,15252,811
142881,25151,117
143128,14532,73
143239,2548137,31183
143295,365524,443
143314,26816,1180
143576,36555,135
143580,55020,728
143629,37945,803
143745,28313,1279
143750,72820,1313
143827,11055,402
143879,6679,395
143988,183757,1528
144047,38504,1462
144237,45264,147
144353,76628,2992
144374,53113,2005
144430,6358,427
144569,4266,500
144623,4051738,4055
144627,20504,661
144662,19952,865
144669,42635,1757
144727,1767949,1709
144732,68866,1139
144835,1620820,43749
144879,45423,972
144981,6341511,5801
144981,9958,451
145005,23847,972
145156,8908,503
145249,120438,214
145284,995624,30367
145296,9695,444
145349,58540,2168
145603,65410,1930
145712,38,361
145822,1602065,35155
145830,398602,465
145881,4094,587
145942,70344,1024
145958,71944,1007
145973,805128,13539
146013,29264,1126
146024,30302,1046
146099,2816,466
146172,7331,300
146185,23359,111
146205,85601,186
146399,27308,1229
146414,4905,613
146529,26684,1012
146540,70891,784
146630,196637,2348
146673,51728,887
146675,22118,742
146678,175944,4529
146848,62446,1317
146859,11734,494
146954,31271,1041
147104,3858,541
147177,42979,1942
147237,581003,17830
147283,31303,690
147405,14775,664
147435,2303850,47435
147506,19753,109
147631,31445,733
147657,28036,898
147689,14347,627
147734,20698,748
147755,194032,6458
147792,23780,775
147807,43336,128
147865,24473,112
147941,15101,784
147946,70831,814
147991,71551,3193
147999,35480,795
148024,28765,1237
148085,37490,134
148136,3813,381
148151,39694,825
148303,39842,1865
148326,118143,1743
148387,34125,887
148601,63175,3731
148863,1253,521
148892,65551,4298
149013,53862,2487
149148,5982,487
149209,146125,5099
149222,79757,1139
149271,43611,2513
149484,805246,6474
149669,30553,890
149746,1916,535
149885,1088087,22829
150035,4391,419
150050,398245,9628
150071,4911,564
150093,6338,674
150116,24837,854
150174,27492,809
150454,2350495,37518
150488,29658,913
150573,129462,1524
150597,528372,702
150613,126115,4113
150690,35843,1778
150705,1746761,38922
150712,71150,2471
150896,46770,2985
150944,73042,1337
150979,4310869,10861
150982,40993,1381
151232,47507,2852
151276,2117320,40792
151333,1233315,34074
151548,1089169,22140
151759,73829,3970
151776,26394354,27045
152886,156837,8259
152965,4667441,4785
153453,4752764,4396
153912,79709,4184
154297,195368,6684
154540,1757987,35938
154750,207080,7561
154881,2307192,53329
155271,1861912,55271
155336,135605,5934
155809,1019235,30592
156453,2843844,56056
156698,1417614,36331
157034,1204906,30048
