CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100061,549,61
100065,5405,65
100067,6613,67
100106,17522,106
100107,18450,107
100117,31186,117
100118,31649,118
100123,879,123
100124,38887,124
100134,1298,134
100142,2144,142
100149,46870,149
100151,48963,151
100153,47722,153
100161,61230,161
100161,5764,161
100174,4974,174
100190,8029,190
100196,6762,196
100208,11821,208
100214,8586,214
100218,8580,218
100218,8337,218
100221,6845,221
100231,7910,231
100234,8102,234
100252,11511,252
100263,8252,263
100315,14166,315
100316,420,316
100324,17981,324
100351,25722,351
100366,13072,366
100397,18669,397
100403,17818,403
100415,25591,415
100429,29201,429
100431,42612,431
100443,17316,443
100448,22871,448
100477,33295,477
100542,28052,542
100544,30474,544
100558,23856,558
100589,28812,589
100644,57479,644
100660,33884,660
100661,45816,661
100699,3180,207
100713,76779,713
100715,644908,715
100717,45504,717
100727,26744,446
100785,60329,785
100806,49240,806
100836,56109,836
100863,11539,84
100883,29138,322
100900,9612,154
100933,22341,318
100974,35878,974
100994,56266,994
101015,60838,1015
101042,1836,172
101055,51676,1055
101071,62929,1071
101073,65928,1073
101081,152980,519
101107,54506,156
101112,25741,313
101163,78381,1163
101174,70007,1174
101179,66317,1179
101192,77323,1192
101194,72747,1194
101213,77956,1213
101215,77712,1215
101220,70833,1220
101258,51575,1084
101278,77120,1278
101281,97441,1281
101388,72679,1388
101400,78565,398
101434,60418,799
101446,139214,1446
101552,121154,1552
101665,345366,422
101681,32729,339
101711,1374537,1711
101716,1777870,1716
101869,134202,1869
101879,27912,377
102042,1995202,2042
102110,2037,173
102191,148177,808
102290,54594,165
102358,56174,951
102385,28456,520
102421,1268,63
102422,7725,67
102493,6423,66
102687,155636,2139
102708,1463,62
102712,41154,540
102743,853,61
102758,4287,73
102775,4429,159
102982,16257,317
103091,1839193,1779
103166,24616,389
103435,64021,623
103475,10942,70
103563,485965,3563
103592,25302,351
103720,334773,451
103728,24662,303
103765,8565,212
103799,12307,218
103832,4213393,3832
103870,24686,352
103952,43249,496
104135,68244,894
104173,4862,172
104204,5207,200
104216,49179,465
104226,13234,284
104344,32222,354
104407,544038,4407
104409,33867,120
104493,14790,475
104531,49327,926
104671,68361,525
104680,13286,253
104708,1007495,1168
104765,10199,240
104789,73313,1346
104852,33253,575
104887,22981,392
104905,123573,2091
104931,65538,1100
105017,50453,558
105060,3992,222
105097,47627,867
105181,27251,448
105223,530,165
105377,14667,394
105445,160900,2107
105556,69399,1297
105567,10829,229
105591,23445,386
105652,69090,588
105793,145614,2968
105943,55556,501
106013,2302,212
106025,786853,6025
106150,2240,254
106233,25575,401
106309,134678,2494
106519,76805,2525
106646,23244,111
106670,174264,3110
106738,148712,2544
106742,61246,1257
106743,9949,256
106758,15328,382
106856,169003,1482
106899,4165,194
107032,127694,2394
107071,4711,233
107294,192974,3768
107387,9662,69
107472,63435,877
107506,2456,262
107596,53713,1516
107712,168446,265
107732,4371312,4260
107748,65185,562
107898,848129,7898
107933,1630292,7933
107942,195169,2764
107997,204207,3227
108003,1150,271
108060,25473,454
108067,55979,589
108114,8073,197
108158,5936,312
108197,9342,219
108342,141323,2341
108460,60908,1408
108473,18983,412
108595,66833,1072
108622,24205,112
108647,6179,283
108748,69892,1876
108752,27545,680
108827,22159,558
108846,15164,512
108848,40484,738
108902,49461,151
108928,6072,283
109018,1981,188
109072,1094999,7698
109110,36988,433
109127,41234,632
109192,1091214,9192
109211,7454,265
109419,12849,225
109446,932822,6826
109504,1158511,9504
109527,24149,456
109597,1206532,9597
109636,728038,8121
109672,8894,292
109739,5615,222
109803,8522,270
109853,12346,313
110054,14775,103
110084,9188,218
110089,39239,124
110111,42596,630
110220,103331,196
110360,923,271
110707,23413,464
110777,380328,7733
111053,27862,479
111104,64128,1040
111115,5944,217
111172,1395112,1395
111182,60861,627
111216,41831,550
111224,1441543,11224
111313,37499,472
111322,23319,474
111358,1164613,11358
111438,1119616,11438
111441,35336,606
111464,72591,173
111465,16093,453
111478,31768,557
111492,12590,210
111650,7892,246
111670,708816,10040
111815,67055,763
111887,3831,290
111917,1469,281
111960,4468324,4372
111988,1002486,10192
112138,168064,3978
112150,192061,4060
112211,208386,5215
112319,41063,591
112353,1693,276
112573,587993,3319
112621,3068,223
112819,167923,3718
112863,7586,235
112962,1032,275
113083,45993,658
113088,9269,378
113132,21593,456
113243,97497,1578
113261,24766,425
113271,139295,1980
113283,24459,575
113537,100340,1919
113573,49385,151
113753,36419,453
113783,23174,113
113805,63903,755
113823,30094,432
113834,51935,1076
113900,63007,1255
114090,21304,557
114162,397905,8211
114243,56086,638
114369,7174,197
114382,544394,7328
114599,1227,246
114802,44725,1443
114886,51465,667
114953,77564,3186
114981,8151,235
115033,277815,6138
115066,136721,1928
115076,68903,564
115122,784802,876
115148,68665,729
115154,40620,701
115186,10829,262
115238,2566,258
115334,48851,744
115373,38438,959
115478,11286,303
115526,149450,5159
115571,167585,262
115688,1569,322
115717,5358,307
115726,9370,295
115769,5554,283
115821,6129,409
116049,453813,8112
116050,174187,1151
116146,74468,1412
116243,54744,1241
116276,6910,261
116282,726546,13079
116346,114017,2313
116350,541106,13658
116426,2918,221
116504,1942081,16504
116606,2339,260
116619,9704,292
116679,7958,258
116688,106725,200
116851,154116,244
116885,9999,295
116908,377313,7086
116927,41218,1006
116934,39945,830
116992,100,289
117052,141114,4201
117169,7885,241
117185,67917,1415
117359,2909,270
117377,76941,1925
117510,6444,269
117535,1446268,1361
117537,397003,9248
117564,1208833,14574
117634,50842,1256
117767,16799,426
117960,32354,119
117997,2180,247
118046,7607,68
118074,63223,1622
118168,11104,348
118186,2769,259
118236,865154,12788
118241,165224,5380
118268,2755,63
118367,38337,124
