CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100061,549,61
100065,5405,65
100067,6613,67
100106,17522,106
100107,18450,107
100117,31186,117
100118,31649,118
100123,879,123
100124,38887,124
100134,1298,134
100142,2144,142
100149,46870,149
100151,48963,151
100153,47722,153
100161,61230,161
100161,5764,161
100174,4974,174
100190,8029,190
100196,6762,196
100208,11821,208
100214,8586,214
100218,8580,218
100218,8337,218
100221,6845,221
100231,7910,231
100234,8102,234
100252,11511,252
100263,8252,263
100315,14166,315
100316,420,316
100324,17981,324
100337,25722,337
100346,13072,346
100398,22871,398
100399,17818,399
100410,18669,410
100422,25591,422
100451,23856,451
100452,17316,452
100529,28812,529
100532,28052,532
100572,29201,572
100572,33295,572
100621,42612,621
100640,30474,640
100648,3180,155
100697,33884,697
100708,26744,427
100728,57479,728
100760,35878,760
100791,45504,791
100814,29138,252
100817,49240,817
100822,644908,822
100854,11539,75
100859,56109,859
100871,22341,257
100932,9612,187
100959,60329,959
100974,45816,974
100989,51676,989
100993,60418,358
101018,60838,1018
101027,1836,157
101061,76779,1061
101066,25741,267
101073,51575,899
101107,54506,155
101197,72747,1197
101215,62929,1215
101223,70833,1223
101270,70007,1270
101310,77956,1310
101317,78381,1317
101344,56266,1344
101353,78565,352
101376,152980,814
101444,77323,1444
101461,77712,1461
101500,97441,1500
101544,1374537,1544
101611,32729,269
101649,72679,1649
101651,65928,1651
101655,345366,412
101660,77120,1660
101668,155636,1120
101763,27912,260
101800,139214,1800
101809,1777870,1809
101902,66317,1902
101926,121154,1926
101965,134202,1965
101999,56174,591
102063,1995202,2063
102100,2037,163
102173,28456,307
102289,54594,164
102420,1268,62
102423,7725,68
102461,41154,289
102493,6423,66
102708,1463,62
102743,853,61
102758,4287,73
102761,4429,145
102917,16257,252
102973,148177,1590
103079,24616,302
103159,1839193,1846
103474,10942,70
103512,25302,271
103574,485965,3574
103693,24662,267
103708,334773,439
103737,8565,184
103756,12307,175
103823,73313,381
103833,24686,316
103849,4213393,3849
103855,43249,398
103886,64021,1075
104105,13234,164
104113,49179,362
104150,4862,150
104165,5207,161
104228,65538,397
104274,32222,284
104277,14790,258
104369,123573,1555
104413,33867,124
104535,68361,390
104581,49327,976
104587,13286,160
104600,68244,1359
104601,1007495,1061
104674,10199,149
104749,33253,472
104753,22981,258
104804,47627,573
105001,27251,267
105008,3992,170
105046,76805,1051
105110,50453,650
105130,160900,1793
105150,145614,2324
105157,127694,519
105213,530,155
105269,14667,285
105478,23445,273
105486,69090,422
105541,10829,203
105922,55556,480
105923,134678,2108
105970,2302,169
105990,786853,5990
106059,2240,162
106078,69399,1819
106102,25575,270
106143,174264,2582
106224,61246,739
106429,192974,2903
106631,15328,255
106646,23244,111
106652,9949,165
106690,53713,610
106789,148712,2596
106886,4165,181
107011,4711,173
107111,169003,1736
107205,544038,7205
107387,9662,69
107401,2456,158
107429,63435,834
107711,168446,265
107715,4371312,4243
107807,204207,3037
107878,25473,272
107898,1150,166
107965,55979,487
108050,69892,1178
108051,5936,204
108085,8073,167
108132,60908,1079
108150,9342,172
108260,65185,1074
108371,27545,299
108422,18983,361
108525,195169,3347
108564,22159,295
108566,6179,202
108590,15164,256
108622,24205,112
108699,1094999,7325
108717,40484,608
108806,6072,161
108903,49461,152
108967,36988,290
108996,1981,166
109011,141323,3010
109013,66833,1490
109093,41234,597
109123,7454,176
109340,12849,146
109341,848129,9341
109346,24149,276
109568,8894,188
109656,5615,139
109712,8522,179
109731,12346,191
110054,14775,103
110074,9188,208
110089,39239,124
110119,42596,638
110223,103331,198
110296,923,207
110323,208386,3327
110478,932822,7857
110524,23413,281
110850,27862,276
111048,41831,381
111071,5944,173
111132,64128,1067
111137,23319,289
111145,192061,3055
111236,35336,401
111261,168064,3102
111271,1395112,1495
111276,16093,264
111318,31768,397
111449,12590,167
111456,37499,615
111463,72591,171
111472,167923,2371
111474,60861,919
111579,7892,175
111759,3831,162
111817,1469,181
111995,728038,10480
111996,4468324,4408
112171,380328,9127
112219,1693,142
112226,41063,498
112241,1158511,12241
112376,1091214,12376
112448,67055,1396
112557,3068,158
112791,7586,163
112823,1206532,12823
112830,1032,144
112909,9269,199
112974,21593,298
113095,24766,259
113108,24459,400
113109,77564,1342
113339,277815,4444
113356,1164613,13356
113375,45993,950
113436,100340,1818
113458,63903,408
113483,63007,837
113486,51935,728
113551,97497,1885
113573,49385,151
113654,453813,5716
113707,30094,315
113728,1119616,13728
113782,23174,112
113809,36419,510
113840,21304,307
113871,44725,512
113956,139295,2665
113994,149450,3627
114043,397905,8093
114378,7174,206
114392,1630292,14392
114417,865154,8969
114434,165224,1573
114503,1227,150
114645,1002486,12849
114674,56086,1069
114907,8151,162
114922,38438,508
115037,40620,584
115084,10829,161
115148,2566,167
115184,51465,965
115192,784802,946
115208,708816,13577
115294,48851,704
115361,11286,186
115422,136721,2284
115531,1569,165
115562,6129,150
115569,167585,260
115591,5358,181
115608,9370,177
115608,68665,1189
115668,5554,182
115820,541106,13128
115850,174187,951
115886,587993,6632
115902,54744,900
116205,6910,190
116235,68903,1723
116248,76941,796
116311,377313,6488
116335,41218,414
116336,67917,566
116365,2918,160
116498,2339,152
116500,39945,395
116504,9704,177
116514,74468,1779
116529,141114,3678
116561,726546,13358
116586,7958,165
116687,106725,199
116770,50842,392
116773,9999,183
116850,154116,243
116885,100,182
116888,114017,2855
116977,63223,525
117097,7885,170
117105,210057,3698
117254,2909,166
117296,469878,7178
117391,6444,150
117614,16799,273
117680,1446268,1507
117917,2180,166
117927,397003,9637
117961,32354,120
117995,11104,175
118045,7607,67
118089,2769,162
118232,52000,514
118260,176614,3283
118268,2755,63
118288,1831,159
118313,115,168
