CompletionTime_us,FlowSize_B,FCT_us
100063,2071,63
100072,13470,72
100074,7910,74
100075,8580,75
100111,23506,111
100113,25496,113
100116,29658,116
100121,145,121
100121,420,121
100124,38931,124
100126,1278,126
100137,34270,137
100147,45504,147
100150,2816,150
100151,3818,151
100152,3179,152
100153,3696,153
100154,3339,154
100155,54138,155
100171,4974,171
100174,5123,174
100175,5982,175
100179,6679,179
100180,7248,180
100184,5936,184
100199,5863,199
100208,6613,208
100216,11511,216
100226,6898,226
100241,61295,173
100311,14532,283
100316,4862,316
100331,18450,331
100343,28052,343
100361,16898,361
100364,22157,364
100381,23856,381
100381,17522,381
100422,341876,422
100425,24473,425
100426,27862,426
100433,30936,433
100433,22235,433
100433,23103,433
100457,24086,457
100481,27610,481
100485,32127,485
100530,27510,530
100533,13072,167
100542,32222,542
100566,23913,566
100620,37945,620
100621,38215,621
100638,37232,638
100750,42105,750
100799,42612,799
100830,9695,146
100856,803856,856
100868,24837,114
100872,51676,872
100873,25591,247
100900,27884,277
100912,4905,153
100921,53284,921
100922,55616,156
100928,49385,928
101014,145616,540
101020,31445,253
101088,67281,1088
101108,61233,1108
101146,60976,917
101169,28456,236
101241,3532,64
101271,64734,354
101279,67285,1279
101284,60854,1284
101287,1101145,1190
101317,30553,259
101322,69082,1322
101345,73026,1345
101357,78565,856
101357,169003,665
101362,6423,148
101405,853,63
101407,65410,1407
101422,34679,707
101435,67003,1059
101476,1680,140
101480,66712,1480
101486,1110877,1486
101492,171326,1081
101500,23383,327
101516,53039,157
101533,55044,427
101548,21723,294
101567,14297,182
101577,38432,265
101579,889161,1579
101603,21115,283
101620,27492,268
101623,24750,242
101630,78164,1630
101642,114941,1642
101646,86738,463
101663,69642,1077
101721,5072,151
101728,9223,161
101733,25302,113
101779,7622,159
101804,41690,488
101831,1346392,1831
101844,5744,147
101847,8565,71
101861,31768,324
101864,36518,444
101873,25598,297
101913,22769,254
101922,33884,266
101967,8337,186
102003,7725,200
102022,68069,950
102041,55664,504
102042,95406,2042
102044,24686,285
102070,527017,1062
102097,1025304,1041
102111,1676,129
102113,14775,242
102139,1275559,2139
102174,20860,260
102340,37162,127
102344,54525,155
102382,13286,169
