CompletionTime_us,FlowSize_B,FCT_us
100063,2071,63
100072,13470,72
100074,7910,74
100075,8580,75
100111,23506,111
100113,25496,113
100116,29658,116
100121,145,121
100121,420,121
100124,38931,124
100126,1278,126
100137,34270,137
100147,45504,147
100150,2816,150
100151,3818,151
100152,3179,152
100153,3696,153
100154,3339,154
100155,54138,155
100171,4974,171
100174,5123,174
100175,5982,175
100179,6679,179
100180,7248,180
100184,5936,184
100199,5863,199
100208,6613,208
100216,11511,216
100226,6898,226
100241,61295,173
100311,14532,283
100316,4862,316
100321,30936,321
100331,18450,331
100358,28052,358
100363,32127,363
100382,16898,382
100397,341876,397
100405,23856,405
100433,22157,433
100434,24473,434
100434,27510,434
100435,32222,435
100443,23103,443
100446,27862,446
100448,38215,448
100460,17522,460
100485,37232,485
100519,24086,519
100531,22235,531
100532,37945,532
100550,51676,550
100561,27610,561
100606,42612,606
100606,49385,606
100647,42105,647
100675,65410,675
100675,61233,675
100764,66712,764
100777,67281,777
100790,803856,790
100811,13072,445
100875,24837,121
100891,69082,891
100917,23913,917
100922,55616,156
100950,73026,950
100981,53284,981
101072,78164,1072
101110,95406,1110
101131,60854,1131
101189,9695,505
101196,1110877,1196
101241,3532,64
101274,27884,650
101292,4905,532
101312,34679,598
101314,67285,1314
101324,889161,1324
101328,1101145,1231
101374,1346392,1374
101402,853,61
101423,67003,1048
101478,6423,264
101506,31445,739
101514,53039,155
101537,64734,620
101563,527017,555
101596,194032,1596
101637,25591,1011
101682,21723,428
101729,30553,670
101733,86738,551
101733,25302,113
101741,55044,635
101742,21115,422
101761,145616,1288
101761,28456,829
101839,7622,219
101840,9223,273
101847,8565,70
101848,27492,496
101894,5744,197
101921,1680,586
101936,14297,551
101947,38432,635
101952,41690,636
101966,1275559,1966
102011,24750,630
102014,5072,444
102025,22769,366
102076,33884,420
102098,1025304,1043
102115,23383,942
102140,36518,720
102141,1676,159
102185,196637,2185
102197,8337,415
102224,25598,647
102237,7725,434
102274,68069,1202
102288,114941,2288
102290,69074,776
102340,37162,126
102344,54525,155
102357,14775,486
102373,69642,1787
102388,60976,2159
102389,55664,853
102460,42414,131
102505,20860,591
102510,712,278
102533,2587304,2389
