CompletionTime_us,FlowSize_B,FCT_us
100063,2071,63
100072,13470,72
100074,7910,74
100075,8580,75
100111,23506,111
100113,25496,113
100116,29658,116
100121,145,121
100121,420,121
100124,38931,124
100126,1278,126
100137,34270,137
100147,45504,147
100150,2816,150
100151,3818,151
100152,3179,152
100153,3696,153
100154,3339,154
100155,54138,155
100171,4974,171
100174,5123,174
100175,5982,175
100179,6679,179
100180,7248,180
100184,5936,184
100199,5863,199
100208,6613,208
100216,11511,216
100226,6898,226
100241,61295,173
100311,14532,283
100316,4862,316
100321,30936,321
100331,18450,331
100358,28052,358
100363,32127,363
100374,16898,374
100390,22157,390
100400,23856,400
100411,17522,411
100422,341876,422
100428,24473,428
100438,27862,438
100443,23103,443
100460,32222,460
100464,37232,464
100476,24086,476
100481,22235,481
100495,37945,495
100523,27610,523
100576,38215,576
100595,13072,228
100648,27510,648
100718,23913,718
100721,49385,721
100731,42612,731
100801,53284,801
100853,803856,853
100868,24837,114
100895,67281,895
100895,42105,895
100909,9695,225
100912,51676,912
100923,55616,156
100952,4905,193
100953,61233,953
100968,25591,343
101055,34679,340
101080,65410,1080
101083,31445,316
101087,66712,1087
101096,78565,596
101141,27884,517
101170,145616,696
101198,67285,1198
101238,1110877,1238
101241,3532,64
101262,67003,886
101283,169003,591
101296,60976,1067
101305,28456,372
101310,60854,1310
101320,1101145,1223
101336,889161,1336
101366,6423,153
101381,114941,1381
101386,64734,470
101400,30553,341
101402,208536,1019
101404,853,63
101514,53039,155
101516,1680,180
101523,69082,1523
101548,68069,475
101560,78164,1560
101576,23383,403
101613,73026,1613
101614,55044,508
101636,27492,284
101642,21723,388
101647,14297,262
101662,38432,350
101678,527017,670
101696,21115,376
101713,86738,530
101723,24750,342
101733,25302,112
101739,95406,1739
101750,1346392,1750
101775,9223,208
101802,5072,232
101805,7622,185
101807,36518,387
101845,8565,69
101937,5744,239
101938,171326,1527
101958,22769,299
101978,69642,1392
102010,7725,207
102036,8337,254
102040,41690,725
102041,1275559,2041
102046,33884,390
102083,31768,546
102097,14775,226
102102,24686,343
102106,1025304,1050
102120,1676,138
102148,25598,571
102236,69074,722
102341,37162,127
102344,54525,155
102374,20860,461
