CompletionTime_us,FlowSize_B,FCT_us
100063,2071,63
100072,13470,72
100074,7910,74
100075,8580,75
100111,23506,111
100113,25496,113
100116,29658,116
100121,145,121
100121,420,121
100124,38931,124
100126,1278,126
100137,34270,137
100147,45504,147
100150,2816,150
100151,3818,151
100152,3179,152
100153,3696,153
100154,3339,154
100155,54138,155
100171,4974,171
100174,5123,174
100175,5982,175
100179,6679,179
100180,7248,180
100184,5936,184
100199,5863,199
100208,6613,208
100216,11511,216
100226,6898,226
100241,61295,173
100311,14532,283
100316,4862,316
100321,30936,321
100331,18450,331
100352,28052,352
100361,32127,361
100370,16898,370
100380,22157,380
100397,23856,397
100397,341876,397
100405,17522,405
100431,27862,431
100442,23103,442
100459,32222,459
100475,22235,475
100475,24086,475
100522,27610,522
100550,38215,550
100553,37232,553
100563,13072,197
100579,24473,579
100582,27510,582
100585,37945,585
100619,42105,619
100654,42612,654
100661,23913,661
100746,49385,746
100807,803856,807
100846,53284,846
100863,9695,179
100874,24837,120
100915,25591,289
100922,55616,156
100925,51676,925
100935,4905,175
100990,27884,367
101005,78565,505
101034,65410,1034
101040,171326,629
101057,66712,1057
101076,61233,1076
101080,34679,366
101082,31445,315
101099,60976,870
101117,60854,1117
101133,145616,660
101142,67281,1142
101164,208536,781
101170,1110877,1170
101241,3532,64
101271,1101145,1174
101310,69642,723
101362,6423,148
101371,64734,454
101400,67285,1400
101403,853,62
101403,28456,471
101469,1346392,1469
101479,68069,407
101513,53039,154
101518,73026,1518
101524,1680,188
101525,67003,1150
101545,30553,486
101562,169003,869
101577,527017,569
101579,889161,1579
101588,14297,203
101611,21723,358
101631,27492,279
101634,86738,452
101656,21115,336
101681,24750,300
101683,69082,1683
101695,38432,383
101707,23383,534
101726,36518,306
101733,25302,113
101740,5072,170
101748,114941,1748
101778,9223,211
101847,8565,70
101876,7622,256
101893,55044,787
101911,5744,214
101936,78164,1936
101943,1275559,1943
101955,33884,299
101985,22769,326
102011,95406,2011
102057,25598,480
102062,8337,280
102068,1025304,1013
102076,31768,539
102109,1676,127
102132,41690,816
102144,14775,273
102147,7725,344
102270,24686,511
102308,69074,795
102344,54525,155
102345,37162,131
102374,20860,460
