CompletionTime_us,FlowType,SizeBytes,FCT_us
100088,Mouse,3059,88
100089,Mouse,3829,89
100090,Mouse,3779,90
100091,Mouse,4186,91
100091,Mouse,3783,91
100095,Mouse,4569,95
100101,Mouse,4920,101
100103,Mouse,5213,103
100105,Mouse,5781,105
100113,Mouse,3950,105
100166,Mouse,5358,65
100212,Mouse,5611,66
100278,Mouse,3180,64
100322,Mouse,4229,65
100352,Mouse,3825,64
100356,Mouse,3830,67
100388,Mouse,4670,73
100456,Mouse,5469,66
100531,Mouse,5421,74
100683,Mouse,3105,76
100724,Mouse,5271,75
100754,Mouse,3888,77
100930,Mouse,5015,105
100959,Mouse,3048,110
101030,Elephant,347076,1030
101125,Mouse,5334,73
101128,Mouse,5611,75
101178,Elephant,353536,1041
101185,Mouse,4925,81
101203,Mouse,3291,79
101218,Mouse,3659,73
101280,Mouse,4630,70
101332,Elephant,261644,896
101388,Mouse,4889,70
101441,Mouse,4120,64
101703,Mouse,5211,69
101770,Mouse,4176,68
101775,Elephant,233680,1049
101904,Mouse,3495,66
101913,Mouse,4090,72
101916,Mouse,3501,72
102051,Elephant,62357,333
102082,Mouse,4553,69
102112,Mouse,5114,69
102171,Mouse,4644,72
102268,Mouse,4939,70
102269,Mouse,3935,70
102309,Mouse,3466,68
102352,Mouse,4169,68
102372,Mouse,3191,66
102507,Mouse,3122,69
102514,Mouse,3042,72
102531,Mouse,3616,73
102602,Mouse,5031,89
102674,Mouse,5480,101
102700,Mouse,5300,106
102735,Elephant,549387,1295
102809,Mouse,5621,86
102822,Mouse,5638,70
102843,Mouse,3920,66
102863,Mouse,4081,70
102920,Mouse,3591,68
103065,Mouse,4751,74
103068,Mouse,4885,76
103187,Mouse,3265,90
103286,Mouse,3516,105
103373,Elephant,554074,1624
103411,Mouse,5377,99
103428,Mouse,5806,96
103534,Elephant,69957,504
103664,Mouse,3919,78
103715,Mouse,3426,89
103842,Mouse,3538,101
103897,Mouse,3756,111
103973,Mouse,3043,115
103979,Elephant,583302,1692
104025,Mouse,5678,98
104032,Mouse,3866,77
104105,Mouse,3660,83
104132,Mouse,4794,83
104164,Mouse,5073,87
104180,Mouse,5273,90
104233,Mouse,4847,96
104241,Mouse,3314,98
104255,Mouse,3419,100
104309,Mouse,4833,101
104375,Mouse,3933,96
104414,Mouse,3917,98
104436,Elephant,565643,1934
104470,Mouse,5578,89
104481,Elephant,357893,1195
104484,Mouse,4785,87
104597,Mouse,4048,66
104601,Mouse,4497,66
104876,Mouse,5693,69
104892,Mouse,3678,75
104914,Mouse,3406,79
104924,Mouse,3182,83
104982,Mouse,5464,83
104998,Mouse,4743,86
105179,Mouse,5653,103
105238,Mouse,5523,118
105520,Mouse,3414,129
105622,Elephant,447797,1713
105661,Mouse,4399,116
105711,Elephant,335923,1240
105736,Mouse,5422,80
105779,Mouse,3112,70
105875,Elephant,76094,534
105900,Mouse,4942,91
105961,Mouse,4347,98
105984,Mouse,5718,102
106157,Mouse,5544,100
106207,Mouse,5218,109
106237,Elephant,522495,1772
106242,Mouse,3673,112
106276,Mouse,4441,118
106313,Mouse,5834,100
106468,Mouse,3796,103
