CompletionTime_us,FlowType,SizeBytes,FCT_us
113156,Mouse,3383,87
113204,Mouse,4136,88
113249,Mouse,5707,85
113288,Mouse,4847,85
113361,Mouse,3134,81
113395,Mouse,3077,86
113454,Mouse,4133,90
113467,Mouse,5614,94
113494,Elephant,443669,1119
113498,Elephant,526849,1288
113507,Mouse,5124,78
113520,Mouse,3663,80
113557,Mouse,5227,65
113564,Mouse,3406,64
113732,Mouse,5037,65
113753,Mouse,4618,65
113777,Mouse,4699,65
113806,Mouse,4386,65
113817,Mouse,5426,65
113834,Mouse,5075,70
113842,Mouse,5001,65
113891,Mouse,5423,65
113985,Mouse,4909,66
113986,Mouse,3050,66
114067,Mouse,5561,66
114182,Mouse,3787,67
114206,Mouse,3131,64
114209,Mouse,3339,64
114264,Mouse,4852,69
114316,Mouse,5158,73
114329,Mouse,5380,65
114380,Mouse,5298,65
114392,Mouse,4737,68
114413,Mouse,5419,70
114436,Mouse,3028,66
114442,Mouse,4738,67
114448,Mouse,3535,67
114471,Elephant,243204,749
114505,Mouse,4804,66
114536,Mouse,3007,64
114556,Mouse,4915,65
114609,Mouse,5514,66
114639,Mouse,5123,65
114672,Mouse,4867,65
114738,Mouse,5703,66
114768,Mouse,5150,65
114858,Mouse,5509,66
114873,Mouse,5433,66
114906,Mouse,4854,65
114947,Mouse,3554,65
114959,Mouse,4067,64
114993,Mouse,3371,64
115037,Mouse,3806,66
115119,Mouse,4557,66
115121,Mouse,4164,66
115299,Mouse,3427,67
115329,Mouse,4586,65
115342,Mouse,5000,69
115355,Mouse,5002,65
115359,Mouse,4312,65
115418,Mouse,5635,66
115449,Mouse,5026,66
115466,Mouse,3397,65
115722,Mouse,5752,66
115840,Mouse,3026,67
115853,Mouse,4467,68
115894,Mouse,4429,71
115953,Mouse,4526,72
116061,Mouse,5662,78
116101,Mouse,3011,80
116176,Elephant,547873,1204
116387,Mouse,5796,66
116409,Mouse,4509,69
116418,Mouse,3023,70
116430,Mouse,5571,75
116435,Mouse,5620,74
116607,Mouse,3092,70
116630,Elephant,589804,1245
116649,Mouse,3569,67
116691,Mouse,5439,66
116751,Mouse,3825,64
116797,Mouse,3453,64
116971,Mouse,3985,64
117058,Mouse,5719,66
117092,Mouse,5788,75
117133,Mouse,5308,69
117151,Mouse,4159,65
117361,Mouse,3514,64
117426,Mouse,4108,67
117485,Mouse,4539,66
117500,Mouse,4579,69
117510,Mouse,5674,74
117582,Mouse,3168,67
117687,Elephant,544065,1247
117754,Mouse,3145,65
117756,Mouse,3706,66
117788,Mouse,3850,64
117898,Mouse,3348,64
117934,Mouse,3262,64
118012,Mouse,3147,64
118030,Mouse,4470,65
118046,Mouse,3656,64
118061,Mouse,5018,65
118161,Mouse,3516,64
118166,Mouse,5282,65
118205,Mouse,4520,67
118207,Mouse,3526,66
118227,Mouse,4782,65
118255,Mouse,4430,65
118295,Mouse,3840,65
118298,Mouse,5608,68
118388,Mouse,3108,65
118486,Mouse,4955,65
118546,Mouse,3503,64
118560,Mouse,4038,67
118584,Mouse,4703,65
118609,Mouse,3304,67
118674,Mouse,3070,64
118742,Mouse,4941,68
118775,Mouse,3253,66
118793,Mouse,4221,64
119170,Mouse,3276,66
119278,Mouse,5263,68
119324,Mouse,3189,67
119325,Mouse,3336,67
119337,Mouse,3506,65
119411,Mouse,3063,72
119435,Mouse,5478,68
119451,Mouse,4747,69
119576,Mouse,5717,70
119590,Elephant,559355,1268
119613,Mouse,5575,66
119691,Mouse,3777,64
119704,Mouse,4960,69
119745,Mouse,4672,67
119753,Mouse,3631,69
119917,Mouse,5796,69
119927,Mouse,4460,65
119932,Mouse,4678,65
119941,Mouse,3135,64
119944,Mouse,3571,64
119956,Mouse,3113,67
119967,Mouse,4225,66
119995,Elephant,61373,361
120026,Mouse,5323,65
120101,Mouse,5623,66
120123,Mouse,3497,67
120141,Mouse,5177,65
120145,Mouse,3372,64
120158,Mouse,4290,65
120170,Mouse,4772,70
120220,Mouse,4911,65
120263,Mouse,5333,66
120288,Mouse,3158,64
120297,Mouse,4230,68
120332,Elephant,78669,404
120441,Mouse,5579,66
120454,Mouse,3105,64
120466,Mouse,4935,65
120549,Mouse,4938,70
120551,Mouse,5339,72
120552,Mouse,4504,71
120558,Mouse,3954,64
120571,Mouse,4438,67
120764,Mouse,4110,64
120942,Mouse,5295,65
121032,Mouse,5588,70
121076,Mouse,5159,79
121121,Mouse,3468,78
121216,Elephant,62822,360
121248,Mouse,3807,80
121259,Mouse,4325,83
121294,Mouse,3781,84
121301,Elephant,311785,887
121322,Mouse,4995,79
121345,Mouse,4238,76
121385,Mouse,4238,64
121425,Mouse,4043,67
121510,Mouse,5076,71
121576,Elephant,155800,631
121694,Mouse,5290,71
121738,Mouse,5493,71
121787,Mouse,4552,69
121810,Mouse,4732,70
121864,Mouse,3712,72
121915,Elephant,479305,1130
121943,Mouse,4494,72
122000,Mouse,4169,64
122036,Mouse,3519,67
122042,Mouse,3279,64
122087,Mouse,4037,64
122097,Mouse,5672,67
122136,Mouse,3604,65
122198,Elephant,233132,742
122200,Mouse,4709,68
122208,Mouse,4739,69
122226,Mouse,3755,65
122285,Mouse,4342,65
122436,Elephant,146054,563
122438,Mouse,3153,65
122551,Mouse,5378,65
122554,Mouse,3964,64
122608,Mouse,4721,65
122676,Mouse,3670,64
122742,Mouse,4116,64
122820,Mouse,3039,64
122957,Mouse,5803,66
122962,Mouse,3971,64
123042,Mouse,3174,64
123058,Mouse,4792,65
123138,Mouse,4601,65
123149,Mouse,4365,65
123338,Mouse,3723,64
123381,Mouse,4234,65
123448,Mouse,5619,66
123482,Mouse,5011,65
123492,Mouse,4778,66
123513,Mouse,3320,64
123583,Mouse,5131,65
123594,Mouse,5800,66
123759,Mouse,3813,64
123892,Mouse,5776,66
123905,Mouse,5265,65
123922,Mouse,5719,66
123966,Mouse,3676,64
124167,Mouse,3813,64
124188,Mouse,4142,64
124311,Mouse,3183,64
124368,Mouse,4393,65
124641,Mouse,5630,66
124671,Mouse,5591,66
124704,Mouse,5556,66
124718,Mouse,5249,65
124742,Mouse,5674,66
124830,Mouse,3675,64
124931,Mouse,4470,65
124975,Mouse,3331,64
124999,Mouse,4474,65
125210,Mouse,3923,64
125218,Mouse,4173,64
125236,Mouse,5666,66
125491,Mouse,5354,69
125516,Mouse,5712,66
125573,Mouse,3036,66
125596,Mouse,4540,74
125615,Mouse,4325,76
125708,Mouse,3168,75
125709,Elephant,94852,461
125713,Mouse,4162,66
125768,Mouse,4089,67
125825,Elephant,133898,556
125849,Mouse,4092,72
125863,Mouse,4783,70
125945,Elephant,202730,690
125965,Mouse,5046,67
126169,Mouse,3497,64
126173,Mouse,4955,65
126207,Mouse,3037,66
126234,Mouse,5366,69
126369,Mouse,3041,67
126372,Mouse,4136,69
126441,Mouse,5434,70
126495,Mouse,4819,74
126602,Mouse,5236,74
126639,Mouse,3330,67
126691,Mouse,3427,67
126706,Elephant,567246,1218
126709,Mouse,3050,66
126778,Elephant,72143,379
126805,Mouse,4069,64
126812,Mouse,4793,65
126841,Mouse,3684,64
126869,Mouse,3506,64
126894,Mouse,5322,70
126924,Mouse,3576,69
127019,Mouse,3934,65
127256,Mouse,3593,64
127290,Mouse,5248,68
127336,Mouse,4104,65
127396,Mouse,4613,65
127433,Mouse,3442,64
127483,Mouse,3336,64
127494,Mouse,4250,68
127526,Mouse,3745,64
127539,Mouse,4738,69
127564,Mouse,3468,64
127646,Mouse,4352,65
127697,Mouse,3885,65
127700,Mouse,5682,68
127811,Mouse,5530,71
127848,Mouse,3957,70
127876,Elephant,406540,1096
127881,Mouse,5620,73
127896,Mouse,3472,69
127966,Mouse,5220,67
127980,Mouse,5665,70
127986,Mouse,4860,71
128019,Mouse,5542,70
128091,Mouse,5793,66
128255,Mouse,3143,69
128263,Mouse,5099,74
128349,Mouse,3441,67
128446,Elephant,274912,981
128461,Mouse,4993,70
128482,Mouse,5200,70
128518,Mouse,5254,75
128522,Elephant,348735,927
128551,Mouse,5625,67
128602,Mouse,3898,64
128617,Mouse,5548,69
128709,Mouse,4348,65
128730,Mouse,4736,65
128737,Mouse,3352,64
128746,Mouse,3122,66
128772,Mouse,5064,65
128786,Elephant,58648,325
128851,Mouse,5292,65
128863,Mouse,4864,65
128869,Mouse,4836,65
128884,Mouse,3502,64
128958,Mouse,4117,64
128972,Mouse,3951,64
128978,Mouse,4775,65
129021,Mouse,3192,65
129030,Mouse,4102,68
129077,Mouse,4281,70
129085,Mouse,3874,64
129262,Mouse,4961,65
129330,Elephant,135207,538
129358,Mouse,4457,65
129383,Mouse,4482,65
129420,Mouse,5288,65
129521,Mouse,3471,64
129560,Mouse,3858,64
129579,Mouse,3176,64
129588,Mouse,5824,66
129667,Mouse,4656,65
129680,Mouse,3105,64
129833,Mouse,4873,65
129926,Mouse,4598,69
130024,Mouse,5680,66
130115,Mouse,4821,65
130228,Mouse,5815,72
130255,Mouse,5822,78
130313,Mouse,5438,69
130419,Mouse,3484,77
130440,Mouse,3075,78
130555,Mouse,4159,90
130762,Mouse,4724,80
130795,Mouse,4107,84
130802,Mouse,5799,87
130829,Mouse,5682,97
130875,Mouse,4782,103
130946,Mouse,3669,73
131014,Mouse,3685,75
131162,Mouse,3161,91
131204,Mouse,4245,99
131213,Elephant,518721,1483
131214,Mouse,3836,102
131230,Mouse,3123,102
131244,Mouse,4232,105
131256,Mouse,3327,98
131261,Mouse,3004,89
131331,Mouse,4431,67
131353,Elephant,140943,1072
131473,Mouse,4561,67
131481,Mouse,3776,69
131552,Elephant,470135,1658
131676,Mouse,3374,73
131689,Mouse,4776,70
131816,Mouse,4035,75
131871,Mouse,3917,90
131887,Mouse,4060,96
131914,Mouse,5162,107
131926,Mouse,4664,113
131940,Mouse,3210,115
132036,Mouse,4114,93
132090,Elephant,470369,1974
132294,Mouse,5735,73
132413,Mouse,4458,71
132458,Mouse,4697,86
132514,Mouse,5208,103
132533,Mouse,3273,98
132622,Mouse,4145,86
132644,Elephant,294646,1225
132703,Mouse,3297,69
132736,Elephant,479494,1508
132756,Mouse,4470,66
132865,Mouse,5770,67
132872,Mouse,4212,68
132937,Mouse,5823,73
133068,Mouse,3853,73
133070,Mouse,3599,73
133081,Mouse,5762,75
133109,Mouse,4649,74
133123,Mouse,5832,82
133198,Mouse,5410,77
133273,Mouse,4510,76
133332,Mouse,3456,82
133357,Elephant,251599,1042
133482,Mouse,3055,85
133653,Mouse,3997,92
133851,Mouse,3584,97
133904,Elephant,354322,1250
133945,Mouse,4675,85
134067,Mouse,3093,84
134106,Mouse,5097,94
134116,Elephant,62431,483
134193,Mouse,4774,81
134282,Mouse,4498,75
134298,Mouse,4313,79
134313,Mouse,4614,86
134398,Mouse,4213,102
134415,Mouse,4525,105
134449,Mouse,5288,102
134533,Mouse,5155,114
134641,Mouse,3789,113
134680,Mouse,4242,103
134696,Mouse,5592,106
134722,Mouse,3951,109
134744,Mouse,4541,108
134817,Mouse,3514,88
134846,Mouse,3491,88
134872,Elephant,288366,1620
134908,Mouse,5506,89
134921,Mouse,4373,96
134940,Mouse,3543,89
134978,Mouse,3532,95
134990,Mouse,4039,97
135020,Mouse,3665,103
135030,Mouse,5652,106
135209,Mouse,5053,78
135244,Mouse,5685,75
135345,Mouse,3783,76
135363,Elephant,343813,2160
135374,Mouse,3599,81
135433,Mouse,5414,83
135442,Mouse,5304,87
135467,Mouse,5819,85
135494,Mouse,4732,86
135499,Mouse,3677,87
135549,Mouse,5558,85
135564,Mouse,3514,80
135577,Mouse,5563,81
135620,Elephant,483904,2261
135678,Mouse,4112,65
135720,Mouse,4008,67
135728,Mouse,4933,71
135768,Mouse,5714,78
135791,Mouse,3745,77
135823,Mouse,5800,87
135975,Mouse,5512,90
136075,Mouse,5545,103
136083,Mouse,5785,108
136142,Elephant,410579,1930
136150,Mouse,5221,99
136222,Mouse,4488,76
136232,Mouse,4113,76
136248,Elephant,140819,699
136263,Elephant,415384,1926
136309,Mouse,3227,64
136394,Mouse,3001,63
136496,Mouse,4517,65
136614,Mouse,3540,64
136680,Mouse,4217,67
136728,Mouse,4822,65
136739,Mouse,3039,64
136764,Mouse,3100,64
136836,Mouse,3742,64
136843,Mouse,3097,67
136861,Mouse,5187,65
136923,Mouse,4483,65
136936,Mouse,5493,68
136942,Mouse,5821,66
137023,Mouse,3367,64
137030,Mouse,3291,64
137076,Mouse,3044,64
137087,Mouse,3017,64
137176,Mouse,5267,65
137183,Mouse,4070,64
137224,Mouse,3803,65
137273,Mouse,3366,64
137276,Mouse,3420,64
137442,Mouse,4463,69
137596,Mouse,4935,65
137639,Mouse,5229,67
137665,Mouse,5610,66
137809,Mouse,3704,64
137871,Mouse,4990,69
137926,Mouse,3675,74
137959,Mouse,3233,67
138030,Mouse,4599,68
138046,Mouse,4582,68
138123,Mouse,4215,70
138136,Mouse,5344,75
138210,Mouse,3996,80
138232,Mouse,3648,87
138253,Elephant,321517,888
138315,Mouse,4054,79
138361,Mouse,5718,75
138362,Mouse,5692,76
138375,Mouse,4223,76
138426,Mouse,4585,76
138444,Mouse,5157,85
138452,Mouse,3201,82
138462,Mouse,5132,76
138504,Mouse,4109,79
138533,Mouse,4688,80
138545,Mouse,3915,85
138561,Mouse,4192,77
138576,Elephant,367163,1423
138707,Mouse,3603,66
138757,Mouse,5789,74
138874,Mouse,5717,90
138885,Elephant,143404,619
138891,Elephant,348531,1079
138984,Mouse,3012,67
139012,Mouse,3197,64
139015,Mouse,4028,64
139141,Mouse,5705,69
139162,Mouse,4357,69
139276,Mouse,3693,70
139284,Mouse,5791,77
139295,Mouse,4479,74
139382,Mouse,4674,73
139391,Mouse,3384,70
139404,Elephant,272424,854
139444,Mouse,3998,71
139451,Mouse,3812,68
139465,Mouse,4064,67
139522,Mouse,3081,67
139661,Elephant,375039,989
139682,Mouse,4173,65
139697,Mouse,3278,70
139714,Mouse,4437,65
139797,Mouse,4194,64
139800,Mouse,3536,66
139818,Mouse,4732,69
139889,Mouse,5104,65
139970,Mouse,5010,65
139993,Mouse,4371,68
140003,Mouse,4948,73
140007,Mouse,5408,76
140127,Mouse,5004,71
140141,Mouse,3750,66
140214,Mouse,3877,74
140231,Mouse,5348,70
140290,Mouse,5514,73
140326,Mouse,4564,79
140343,Mouse,5301,80
140402,Mouse,5129,90
140459,Mouse,3519,98
140471,Mouse,5076,102
140552,Mouse,5652,93
140555,Elephant,410673,1115
140569,Mouse,4519,86
140653,Mouse,5258,70
140725,Elephant,130548,729
140736,Mouse,3757,64
140822,Mouse,3446,66
140831,Mouse,5097,68
140847,Mouse,4503,67
140953,Mouse,3869,69
140980,Mouse,4750,67
141005,Mouse,5007,76
141067,Mouse,4955,72
141110,Mouse,4042,72
141125,Mouse,5402,79
141233,Mouse,3985,80
141366,Mouse,5782,116
141393,Elephant,552277,1500
141398,Mouse,3567,113
141421,Mouse,3170,118
141567,Mouse,5082,110
141581,Mouse,4878,113
141585,Mouse,4147,114
141606,Mouse,4462,105
141624,Mouse,3605,100
141665,Mouse,5552,84
141707,Mouse,4964,75
141842,Mouse,3926,82
141871,Mouse,5475,89
141966,Mouse,4280,97
141990,Mouse,4661,105
141992,Mouse,4460,104
142073,Mouse,5078,109
142102,Mouse,4022,102
142127,Mouse,3006,89
142184,Mouse,4283,92
142204,Mouse,3503,96
142247,Mouse,5793,109
142303,Mouse,3177,94
142347,Mouse,3525,73
142395,Mouse,4876,66
142582,Mouse,5509,89
142701,Mouse,5593,99
142731,Mouse,5616,93
142738,Mouse,4633,97
142755,Mouse,3769,99
142801,Mouse,4854,101
142876,Mouse,4935,87
142918,Mouse,4789,92
142924,Mouse,4457,97
143017,Mouse,3586,102
143030,Mouse,3437,103
143091,Mouse,3382,99
143112,Mouse,4296,101
143121,Elephant,413584,2331
143126,Mouse,3024,98
143200,Elephant,246483,2054
143219,Mouse,3717,71
143232,Mouse,3839,72
143237,Mouse,3057,76
143301,Mouse,3417,75
143372,Mouse,5175,81
143389,Mouse,3400,84
143392,Elephant,347635,2257
143416,Mouse,4024,85
143449,Mouse,3535,82
143456,Mouse,5345,88
143461,Mouse,5159,91
143552,Mouse,5823,86
143808,Mouse,3986,87
143856,Mouse,4083,95
143871,Mouse,3893,100
143905,Mouse,4644,100
143919,Mouse,4200,104
143963,Mouse,3541,96
144113,Mouse,5660,87
144246,Mouse,3504,94
144269,Mouse,5629,96
144293,Mouse,4871,94
144394,Mouse,4881,75
144483,Mouse,3047,78
144500,Elephant,567926,2661
144530,Elephant,447394,1556
144748,Mouse,3720,84
144751,Mouse,3846,90
144783,Mouse,5178,95
144867,Mouse,3173,83
144913,Elephant,35343,293
145024,Mouse,4142,75
145165,Mouse,4939,92
145204,Mouse,4230,98
145224,Elephant,91526,652
145237,Mouse,3798,105
145252,Mouse,4327,108
145334,Mouse,4822,87
145428,Mouse,4885,94
145475,Elephant,182215,946
145486,Mouse,3821,106
145554,Mouse,4266,94
145559,Mouse,5043,96
145604,Mouse,4136,83
145615,Mouse,3346,86
145626,Mouse,5584,92
145691,Mouse,4294,95
145728,Mouse,3581,99
145781,Mouse,3209,87
145839,Mouse,4922,97
145848,Mouse,5423,96
145919,Mouse,5616,110
146015,Mouse,4215,114
146091,Mouse,3324,113
146092,Mouse,4261,114
146118,Elephant,200973,1276
146124,Mouse,4123,101
146128,Mouse,3956,97
146134,Mouse,3507,92
146188,Elephant,509166,2208
146326,Mouse,5123,67
146345,Mouse,4768,73
146349,Mouse,3657,69
146474,Elephant,342051,1919
146588,Mouse,4475,69
146875,Mouse,5207,104
146920,Mouse,5156,110
146970,Elephant,282648,1750
147022,Mouse,3057,67
147149,Mouse,3733,81
147174,Elephant,235017,928
147183,Mouse,3824,74
147206,Mouse,4928,79
147254,Mouse,4796,72
147278,Mouse,5046,71
147291,Mouse,4672,74
147350,Mouse,5659,81
147374,Mouse,3592,79
147379,Mouse,3797,81
147471,Mouse,5780,78
147477,Mouse,5649,72
147565,Mouse,5584,67
147596,Mouse,3581,67
147606,Mouse,5669,74
147680,Mouse,3304,78
147699,Mouse,4938,82
147806,Mouse,3858,81
147829,Mouse,3508,88
147857,Mouse,4835,99
147889,Mouse,5558,103
147982,Elephant,423946,1288
148002,Mouse,5390,79
148022,Mouse,5149,74
148037,Mouse,5731,66
148062,Mouse,4128,73
148085,Mouse,3221,64
148098,Mouse,3067,64
148112,Mouse,4023,68
148223,Mouse,4737,65
148257,Mouse,3219,68
148453,Mouse,3406,68
148456,Mouse,5176,69
148474,Elephant,437132,1457
148495,Mouse,3930,67
148586,Mouse,4214,67
148682,Mouse,4063,64
148718,Mouse,3489,67
148721,Mouse,3813,67
148813,Mouse,3161,64
148868,Mouse,5355,69
148893,Mouse,5493,70
148908,Mouse,4079,67
148984,Mouse,3141,66
149055,Elephant,546044,1499
149147,Mouse,4537,65
149177,Mouse,4953,67
149181,Mouse,3586,64
149237,Mouse,4727,65
149266,Mouse,4909,69
149285,Mouse,3897,64
149344,Elephant,140812,547
149350,Mouse,5684,66
149369,Mouse,4064,64
149415,Mouse,5027,65
149420,Mouse,3405,64
149436,Mouse,5266,65
149520,Mouse,5134,65
149558,Mouse,4180,64
