CompletionTime_us,FlowType,SizeBytes,FCT_us
112913,Mouse,4356,67
112939,Mouse,3871,69
112986,Mouse,5619,74
113008,Mouse,3513,70
113081,Mouse,3815,73
113121,Mouse,5270,80
113156,Mouse,3383,87
113204,Mouse,4136,88
113252,Mouse,5707,89
113296,Mouse,4847,92
113371,Mouse,3134,91
113408,Mouse,3077,100
113434,Mouse,3866,99
113463,Elephant,526849,1254
113469,Mouse,4133,105
113478,Mouse,5614,104
113504,Elephant,443669,1129
113516,Mouse,5124,87
113522,Mouse,3663,82
113557,Mouse,5227,65
113563,Mouse,3406,64
113732,Mouse,5037,65
113753,Mouse,4618,65
113777,Mouse,4699,65
113806,Mouse,4386,65
113817,Mouse,5426,65
113834,Mouse,5075,70
113842,Mouse,5001,65
113891,Mouse,5423,65
113985,Mouse,4909,66
113986,Mouse,3050,66
114067,Mouse,5561,66
114182,Mouse,3787,67
114206,Mouse,3131,64
114209,Mouse,3339,64
114264,Mouse,4852,69
114316,Mouse,5158,73
114329,Mouse,5380,65
114380,Mouse,5298,65
114392,Mouse,4737,68
114413,Mouse,5419,70
114436,Mouse,3028,66
114442,Mouse,4738,67
114448,Mouse,3535,67
114471,Elephant,243204,749
114505,Mouse,4804,66
114536,Mouse,3007,64
114556,Mouse,4915,65
114609,Mouse,5514,66
114639,Mouse,5123,65
114672,Mouse,4867,65
114738,Mouse,5703,66
114768,Mouse,5150,65
114858,Mouse,5509,66
114873,Mouse,5433,66
114906,Mouse,4854,65
114947,Mouse,3554,65
114959,Mouse,4067,64
114993,Mouse,3371,64
115037,Mouse,3806,66
115119,Mouse,4557,66
115121,Mouse,4164,66
115299,Mouse,3427,67
115329,Mouse,4586,65
115342,Mouse,5000,69
115355,Mouse,5002,65
115359,Mouse,4312,65
115418,Mouse,5635,66
115449,Mouse,5026,66
115466,Mouse,3397,65
115722,Mouse,5752,66
115840,Mouse,3026,67
115853,Mouse,4467,68
115894,Mouse,4429,71
115953,Mouse,4526,72
116061,Mouse,5662,78
116101,Mouse,3011,80
116176,Elephant,547873,1204
116387,Mouse,5796,66
116409,Mouse,4509,69
116418,Mouse,3023,70
116430,Mouse,5571,75
116435,Mouse,5620,74
116607,Mouse,3092,70
116630,Elephant,589804,1245
116649,Mouse,3569,67
116691,Mouse,5439,66
116751,Mouse,3825,64
116797,Mouse,3453,64
116971,Mouse,3985,64
117058,Mouse,5719,66
117092,Mouse,5788,75
117133,Mouse,5308,69
117151,Mouse,4159,65
117361,Mouse,3514,64
117426,Mouse,4108,67
117485,Mouse,4539,66
117500,Mouse,4579,69
117510,Mouse,5674,74
117582,Mouse,3168,67
117687,Elephant,544065,1247
117754,Mouse,3145,65
117756,Mouse,3706,66
117788,Mouse,3850,64
117898,Mouse,3348,64
117934,Mouse,3262,64
118012,Mouse,3147,64
118030,Mouse,4470,65
118046,Mouse,3656,64
118061,Mouse,5018,65
118161,Mouse,3516,64
118166,Mouse,5282,65
118205,Mouse,4520,67
118207,Mouse,3526,66
118227,Mouse,4782,65
118255,Mouse,4430,65
118295,Mouse,3840,65
118298,Mouse,5608,68
118388,Mouse,3108,65
118486,Mouse,4955,65
118546,Mouse,3503,64
118560,Mouse,4038,67
118584,Mouse,4703,65
118609,Mouse,3304,67
118674,Mouse,3070,64
118742,Mouse,4941,68
118775,Mouse,3253,66
118793,Mouse,4221,64
119170,Mouse,3276,66
119278,Mouse,5263,68
119324,Mouse,3189,67
119325,Mouse,3336,67
119337,Mouse,3506,65
119411,Mouse,3063,72
119435,Mouse,5478,68
119451,Mouse,4747,69
119576,Mouse,5717,70
119590,Elephant,559355,1268
119613,Mouse,5575,66
119691,Mouse,3777,64
119704,Mouse,4960,69
119745,Mouse,4672,67
119753,Mouse,3631,69
119917,Mouse,5796,69
119927,Mouse,4460,65
119932,Mouse,4678,65
119941,Mouse,3135,64
119944,Mouse,3571,64
119956,Mouse,3113,67
119967,Mouse,4225,66
119995,Elephant,61373,361
120026,Mouse,5323,65
120101,Mouse,5623,66
120123,Mouse,3497,67
120141,Mouse,5177,65
120145,Mouse,3372,64
120158,Mouse,4290,65
120170,Mouse,4772,70
120220,Mouse,4911,65
120263,Mouse,5333,66
120288,Mouse,3158,64
120297,Mouse,4230,68
120332,Elephant,78669,404
120441,Mouse,5579,66
120454,Mouse,3105,64
120466,Mouse,4935,65
120549,Mouse,4938,70
120551,Mouse,5339,72
120552,Mouse,4504,71
120558,Mouse,3954,64
120571,Mouse,4438,67
120764,Mouse,4110,64
120942,Mouse,5295,65
121032,Mouse,5588,70
121076,Mouse,5159,79
121121,Mouse,3468,78
121216,Elephant,62822,360
121248,Mouse,3807,80
121259,Mouse,4325,83
121294,Mouse,3781,84
121301,Elephant,311785,887
121322,Mouse,4995,79
121345,Mouse,4238,76
121385,Mouse,4238,64
121425,Mouse,4043,67
121510,Mouse,5076,71
121576,Elephant,155800,631
121694,Mouse,5290,71
121738,Mouse,5493,71
121787,Mouse,4552,69
121810,Mouse,4732,70
121864,Mouse,3712,72
121915,Elephant,479305,1130
121943,Mouse,4494,72
122000,Mouse,4169,64
122036,Mouse,3519,67
122042,Mouse,3279,64
122087,Mouse,4037,64
122097,Mouse,5672,67
122136,Mouse,3604,65
122198,Elephant,233132,742
122200,Mouse,4709,68
122208,Mouse,4739,69
122226,Mouse,3755,65
122285,Mouse,4342,65
122436,Elephant,146054,563
122438,Mouse,3153,65
122551,Mouse,5378,65
122554,Mouse,3964,64
122608,Mouse,4721,65
122676,Mouse,3670,64
122742,Mouse,4116,64
122820,Mouse,3039,64
122957,Mouse,5803,66
122962,Mouse,3971,64
123042,Mouse,3174,64
123058,Mouse,4792,65
123138,Mouse,4601,65
123149,Mouse,4365,65
123338,Mouse,3723,64
123381,Mouse,4234,65
123448,Mouse,5619,66
123482,Mouse,5011,65
123492,Mouse,4778,66
123513,Mouse,3320,64
123583,Mouse,5131,65
123594,Mouse,5800,66
123759,Mouse,3813,64
123892,Mouse,5776,66
123905,Mouse,5265,65
123922,Mouse,5719,66
123966,Mouse,3676,64
124167,Mouse,3813,64
124188,Mouse,4142,64
124311,Mouse,3183,64
124368,Mouse,4393,65
124641,Mouse,5630,66
124671,Mouse,5591,66
124704,Mouse,5556,66
