CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100067,6845,67
100110,22157,110
100117,31186,117
100120,34824,120
100121,289,121
100122,100,122
100122,574,122
100124,38557,124
100140,1298,140
100150,2603,150
100157,3905,157
100160,60329,160
100160,61045,160
100170,72525,170
100172,5358,172
100172,4905,172
100178,5240,178
100179,5018,179
100180,5931,180
100189,6613,189
100199,7910,199
100200,8029,200
100201,8102,201
100203,8759,203
100204,9257,204
100208,7887,208
100216,10199,216
100231,8580,231
100235,12590,235
100249,12346,249
100257,5976,257
100260,11511,260
100276,712,276
100277,2302,277
100319,14166,319
100324,18450,324
100347,18473,347
100363,17522,363
100365,20099,365
100380,20348,380
100384,20819,384
100414,14726,414
100434,22118,434
100435,24512,435
100443,22004,443
100455,28405,455
100463,31649,463
100467,14582,207
100490,29658,490
100509,27308,509
100544,29525,544
100548,28096,548
100588,35878,588
100621,485965,621
100636,40993,636
100648,45504,648
100649,47906,649
100667,42612,667
100669,41218,669
100716,51575,368
100777,3700,147
100792,24690,239
100811,43864,811
100826,26744,264
100836,132368,455
100836,53195,836
100875,57479,875
100881,48668,881
100948,72591,948
100988,66943,988
101070,77120,1070
101074,76779,1074
101075,70700,1075
101169,70833,1169
101230,99977,1230
101255,1329291,1255
101324,1087637,1324
101329,90642,1329
101389,60965,374
101549,57535,480
101556,1441543,1556
101636,60418,366
101651,13072,184
101850,25741,251
101907,126115,1907
101912,6183,157
101961,53213,569
102179,67554,456
102285,54506,383
102302,26271,258
102304,2024,141
102353,171907,2353
102431,76174,387
102464,106089,1339
102479,179862,2479
102728,3213,141
102791,321577,2791
103116,155636,2019
103335,395343,3335
103402,27912,397
103429,180688,3429
103604,377313,3604
103873,469878,3873
104131,70918,458
104480,30553,244
104536,528372,4536
104664,5207,163
104803,19812,276
104904,845521,4904
104906,644908,4906
104918,81852,1499
105004,6423,150
105036,41154,693
105245,68069,954
105427,853,62
105530,47507,373
105674,27492,265
105750,24844,285
105829,345366,3344
105984,4093948,3659
106185,571022,6185
106495,8151,157
106561,786853,6561
106714,1051778,6714
106749,25302,267
106786,70007,168
106842,9315,170
107018,33884,394
107111,1019235,7111
107200,464337,7200
107254,45985,600
107257,73313,371
107274,8565,169
107285,824647,929
107315,12307,153
107406,199695,2661
107424,10829,160
107546,49327,335
107670,49969,562
107672,14964,237
107742,1158511,7742
108158,4862,157
108283,65538,622
108657,2582890,2604
108675,950204,8675
108866,33867,287
108876,805128,836
109083,42332,670
109090,45423,648
109203,38386,131
109205,47627,744
109261,8644,155
109267,4910678,4490
109292,1481289,1832
109328,51047,1011
109510,127694,235
109527,13411,72
109609,68361,1318
109635,6910,170
109666,1206532,9666
109801,69399,1283
110006,50453,1087
110181,11488,179
110183,38,154
110468,1091214,10468
110652,21754,293
110725,2512428,10725
110857,10829,181
110997,48343,511
111043,55556,158
111123,42979,134
111137,3013080,11137
111204,23416,283
111426,695363,5944
111962,25575,298
112164,18669,268
112226,4841214,4449
112261,34416,370
112266,728038,9236
112361,16799,243
112402,587993,5496
112707,8908,160
112936,1090889,12444
113080,1889305,8298
113135,9949,162
113230,19952,231
113261,726546,6855
113299,4885,156
113307,176614,2434
113345,34722,251
113494,32564,290
113511,2918,181
113546,63435,357
113559,4165,148
113836,4711,161
114196,195169,3841
114324,22747,111
114343,10694,178
114651,2456412,14651
114836,9662,199
115166,805246,8518
115333,1839193,12708
115623,65185,1251
115945,23847,263
115959,55979,1002
116016,1533544,16016
116172,1446268,15667
116173,1757987,16173
116585,1395112,16585
116776,1877587,16776
116798,40484,579
116835,1615,150
116917,6179,188
117048,2634426,17048
117439,6072,149
117463,41234,472
117504,1716569,7012
117529,33295,455
117549,156837,1922
117640,692459,12163
117736,7694,161
117757,23780,257
117971,245515,3077
118068,29264,269
118162,101974,942
118371,1861912,18371
118383,1954126,18383
118569,12849,181
118689,146125,1578
118829,8894,70
118985,192061,2807
119044,2303850,19044
119169,152980,3183
119190,5615,156
119217,8522,151
119326,1217,161
119381,397905,6014
119543,686199,4414
119557,4995840,4337
120130,1346392,20130
120189,14775,285
120238,923,61
120417,4049,147
120602,1525178,1423
120703,103331,655
120761,23413,276
120770,13305,159
120965,77956,808
121051,2566,140
121326,657921,3772
121527,1678978,21527
121695,68866,167
121947,35336,278
121954,5944,157
122002,41831,669
122007,398245,614
122066,37499,384
122164,530,152
122273,1253,184
122397,1799539,16547
122473,64128,878
122546,4911,65
122664,1096012,7885
122685,2932159,22685
122825,1942081,22825
122983,7892,175
123168,5867,165
123235,2595309,23235
123333,3831,139
123606,44725,396
123717,139295,1137
123913,24205,274
124318,97497,987
124474,100340,1238
124558,3813,158
124569,58540,1215
124638,37490,476
124689,3101368,2929
124872,1164613,9581
124964,3068,167
125039,25973,281
125537,865154,14641
125565,1777870,25565
125677,77564,2142
125946,24766,273
126001,1442491,11012
126020,1464973,17112
126022,29148,369
126036,3179,175
126096,11055,71
126125,6679,143
126160,51935,644
126226,2309,63
126398,1589354,21845
126500,136721,225
126517,9188,166
126694,3119,163
126715,11500,196
126884,63903,783
127318,21304,252
127372,1585446,10508
127474,978,157
127633,23174,293
127740,2066236,27723
127781,1916,144
127913,120438,568
128106,2350495,2232
128173,3611875,28173
128417,1019655,14560
128454,62929,913
128516,7174,172
128555,23856,277
128768,1227,62
128888,9695,170
128929,31590,350
129040,1101145,5341
129116,114017,1050
129636,68903,613
129745,30936,276
129766,55020,516
129844,74468,374
129962,640275,7116
129994,3992,161
129999,10813,165
130129,210057,3317
130160,54744,156
130386,529957,9345
130391,71551,2203
130434,11286,84
130462,2296280,2436
130514,1979931,1968
130543,420,145
130891,1569,159
131038,5554,66
131049,9370,188
131165,29201,260
131194,31445,405
131350,882183,13676
131411,65928,475
131455,635629,6582
131545,43907,145
131571,70891,1466
131817,38343,283
131896,23808,111
132060,14532,184
132378,168446,2622
132581,67917,1040
132599,9892,178
132632,9958,181
132831,48963,377
132976,4287,65
132997,1608912,21315
133175,106725,199
133185,23359,268
133235,167585,2616
133391,604,144
133613,70344,1135
134318,53862,717
134322,2909,145
134538,21842,283
134628,26538,118
134665,744537,13102
134738,28313,242
134842,51676,381
134995,86084,1750
135015,17981,282
135023,42635,697
135090,85601,1535
135347,398602,7626
135387,1656911,20523
135598,49584,393
135676,24524211,22801
135686,1068295,14495
135711,910849,18004
135741,433534,7762
135800,11104,161
135912,9223,176
135922,512095,689
135970,32354,288
136876,22981,310
137098,154116,2418
137116,38337,630
137120,29475,276
137263,60112,161
137457,35843,458
137536,8252,175
137598,21845,276
137614,59469,1263
138016,14105,175
138019,129462,908
138091,40054,577
138217,1746761,14650
138281,26816,277
138312,4094,147
138445,123573,1912
138659,127338,2059
138791,69090,1122
138964,28052,300
139064,72747,600
139072,4310869,30574
139176,25578,115
139265,73042,1461
139479,36543,282
139506,14775,258
139533,4051738,3666
139548,1339045,16910
139553,747808,7116
139601,68233,600
139828,141432,1145
139877,51728,502
139916,73222,177
139969,48640,717
140015,2267239,27280
140049,160900,2976
140196,72275,1275
140337,6172,184
140385,7331,176
140561,107076,2055
140869,70831,1006
140969,118143,226
141279,31303,291
141482,24662,304
141683,67281,921
141721,1922218,31044
141758,7706384,7431
142048,6602,66
142103,6796,174
142218,30474,288
142226,213938,3226
142308,28036,288
142317,60976,641
142368,175944,3339
142582,773471,15808
142746,7607,167
143017,8737,180
143072,2096638,26461
143244,16257,250
143348,788222,13889
143516,46815,150
143743,3491,187
144034,52562,1101
144103,78381,1012
144419,54865,704
144807,581003,6229
144969,31271,288
145010,23763,111
145131,306760,4101
145373,3964181,34031
145431,24086,282
145577,21477,274
145614,204207,1746
145845,38504,523
146023,60838,1206
146334,54594,155
146635,8318708,7802
146703,932822,10556
146713,32222,269
146752,876364,16026
146900,8073,160
147139,36720,298
147210,42596,706
147311,5431235,47311
147355,1233315,12836
147357,17080,107
147401,6614211,43560
147408,1917507,19345
147537,2676,156
147718,3851974,35063
147746,31010,117
147804,1685,159
147856,39239,386
147871,14667,240
147899,22022,261
147956,79488,604
148065,274338,4229
148229,195368,5427
148394,1151927,20653
148483,4429,161
148692,47109,409
148783,135605,1510
148842,23851,111
148862,50842,815
149399,45876,562
149618,719792,14567
149652,492791,7115
149919,1377377,1433
150362,77323,1173
150677,71839,792
151612,169003,2398
151675,139214,1833
151796,2679223,28485
151924,2807262,39874
152740,196637,3847
152806,1088087,10297
153300,840694,22783
154217,2117320,33249
154350,3636211,48818
154365,4039428,51499
155429,4424336,33110
155925,2759495,26822
156753,4967212,54258
157077,8587401,8319
157373,1251213,26753
157503,1374537,19838
157832,1400704,14934
157940,2386460,20914
157993,1007495,8983
158664,3125379,33226
159178,1094999,13340
159206,1119616,10868
159918,1295527,26408
160631,7063401,60631
161833,1696306,25241
162050,2843844,41099
162577,4308366,45303
162693,439298,12810
163740,3204880,63740
163860,3768431,63860
165074,1741955,25566
165212,1969398,33786
165747,1676107,25136
165919,2488498,41896
166857,1010412,20165
167507,1944504,35066
167711,3994786,36997
167797,4752764,36855
167939,3867338,45849
168587,12026669,61780
168767,9817082,47815
169639,7302855,69639
171141,5907177,38013
171503,5038804,57389
171612,7975317,71612
171684,1196837,22238
171948,4069234,55244
172079,6341511,30923
172126,2890668,28142
172460,26394354,22999
176318,4858666,44554
177673,4405367,39633
179294,9270297,45292
181311,5825035,72537
181796,3514994,58955
182373,7143971,54796
182720,1943940,35173
184649,7355542,76915
189198,4465701,73104
189979,7895410,57374
190437,8168865,90437
191068,8459900,91068
191669,6659869,55314
194729,14957281,82026
195359,5516258,74790
195602,14309526,95019
195859,7547485,73836
196218,8859777,73291
197387,4667441,55261
197716,9404792,65983
199022,15198199,82080
201265,16863030,79514
201871,8219807,62602
202319,3071996,68203
202895,10487334,82570
205366,9823678,105366
206416,8896197,77277
207981,28975922,97550
208860,5527188,101793
209116,6371843,107535
210533,14322356,97941
210823,9708202,110823
211809,28541335,111809
211878,6307656,110206
220328,28468041,91505
222967,27183205,122967
223823,12706621,110258
224455,8837324,124280
224808,13621029,124808
226224,9550564,126224
230481,8437518,93751
233791,7830866,97306
234254,8277791,102487
239000,9933187,91464
241929,9671629,101071
243222,19667757,143222
258494,29412042,127157
286485,22170968,174618
288472,23134120,140788
291136,29426845,191136
296394,29704438,178346
301207,29783305,170424
