CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100067,6845,67
100110,22157,110
100117,31186,117
100120,34824,120
100121,289,121
100122,100,122
100122,574,122
100124,38557,124
100140,1298,140
100150,2603,150
100157,3905,157
100160,60329,160
100160,61045,160
100170,72525,170
100172,5358,172
100172,4905,172
100178,5240,178
100179,5018,179
100180,5931,180
100189,6613,189
100199,7910,199
100200,8029,200
100201,8102,201
100203,8759,203
100204,9257,204
100208,7887,208
100216,10199,216
100231,8580,231
100235,12590,235
100249,12346,249
100257,5976,257
100260,11511,260
100276,712,276
100277,2302,277
100319,14166,319
100324,18450,324
100347,18473,347
100372,17522,372
100378,20099,378
100386,20348,386
100395,14726,395
100405,20819,405
100417,31649,417
100430,28405,430
100433,22118,433
100456,27308,456
100457,24512,457
100485,48668,485
100494,22004,494
100496,28096,496
100528,40993,528
100539,14582,280
100557,29658,557
100560,35878,560
100567,47906,567
100595,45504,595
100614,29525,614
100654,485965,654
100674,42612,674
100692,43864,692
100737,53195,737
100747,41218,747
100829,3700,199
100840,26744,277
100869,24690,316
100877,51575,529
100893,90642,893
100947,70700,947
100989,72591,989
101008,57479,1008
101025,77120,1025
101035,66943,1035
101090,70833,1090
101189,76779,1189
101241,99977,1241
101289,1329291,1289
101318,1087637,1318
101419,60965,403
101503,132368,1123
101557,1441543,1557
101676,13072,209
101757,126115,1757
101794,171907,1794
101827,60418,557
101852,57535,783
101929,25741,331
101958,53213,566
101964,6183,208
102067,106089,942
102204,179862,2204
102324,26271,281
102324,2024,162
102362,67554,639
102404,54506,502
102449,76174,406
102453,180688,2453
102614,469878,2614
102760,3213,173
102820,321577,2820
103119,377313,3119
103198,395343,3198
103287,155636,2190
103387,27912,382
104254,70918,581
104578,30553,342
104704,845521,4704
104751,5207,250
104852,81852,1434
104860,644908,4860
104883,19812,357
104920,464337,4920
105009,68069,719
105051,41154,707
105060,6423,206
105160,571022,5160
105183,528372,5183
105426,853,61
105441,345366,2956
105699,27492,290
105834,24844,369
105950,4093948,3625
106029,1051778,6029
106345,47507,1188
106579,8151,242
106789,70007,171
106810,25302,328
106913,9315,241
106954,33884,329
107246,45985,592
107299,8565,193
107306,824647,950
107354,12307,192
107515,10829,251
107619,49969,512
107729,1158511,7729
107773,14964,337
107810,199695,3065
107823,73313,938
107853,1019235,7853
108025,49327,815
108222,4862,220
108227,786853,8227
108506,950204,8506
108612,2582890,2559
108781,1757987,8781
108848,51047,531
108881,805128,840
108902,45423,460
108947,1090889,8455
108972,1395112,8972
108979,42332,566
108990,65538,1329
109111,4910678,4334
109199,38386,127
109258,1481289,1798
109268,33867,689
109362,8644,256
109424,47627,963
109512,127694,238
109528,13411,73
109551,1206532,9551
109553,68361,1261
109651,6910,186
109732,69399,1214
110129,50453,1211
110220,11488,218
110236,38,206
110297,2512428,10297
110724,728038,7694
110746,21754,387
110871,3013080,10871
111031,10829,355
111044,55556,159
111118,42979,128
111445,23416,523
111570,48343,1083
111755,695363,6273
112073,25575,409
112240,1889305,7458
112303,4841214,4526
112337,18669,440
112435,34416,544
112482,16799,364
112608,1533544,12608
112648,1091214,12648
112656,726546,6250
112725,8908,178
113050,2456412,13050
113203,2634426,13203
113245,9949,272
113355,4885,212
113370,587993,6464
113377,19952,379
113449,34722,355
113563,2918,233
113626,692459,8149
113630,4165,219
113672,1446268,13167
113684,32564,479
113719,176614,2846
113907,4711,232
113916,1954126,13916
113949,63435,759
114283,2066236,14266
114324,22747,112
114391,10694,226
114737,1346392,14737
114860,2303850,14860
114878,9662,241
115201,65185,829
115344,1839193,12720
115453,55979,497
115467,805246,8819
115781,195169,5426
115953,1877587,15953
116008,23847,326
116056,1942081,16056
116400,156837,773
116615,1861912,16615
116847,1615,162
116967,40484,748
117009,6179,281
117366,245515,2473
117397,41234,406
117464,6072,175
117491,33295,417
117782,7694,206
117876,23780,376
118162,152980,2176
118177,1678978,18177
118184,29264,385
118375,101974,1155
118421,1777870,18421
118641,12849,253
118782,192061,2604
118829,8894,70
118982,1799539,13132
119037,2595309,19037
119219,1716569,8727
119226,5615,192
119263,8522,196
119385,1217,220
119557,4995840,4337
119673,146125,2562
119956,686199,4827
120238,923,61
120278,14775,374
120523,4049,253
120735,1525178,1556
120751,657921,3197
120764,397905,7397
120797,103331,748
120823,2932159,20823
120827,13305,216
120862,23413,377
121081,2566,170
121696,68866,168
121730,41831,397
121984,35336,316
121990,398245,597
122002,5944,205
122016,77956,1860
122250,530,238
122309,1253,220
122460,1589354,17906
122473,37499,791
122546,4911,65
122749,865154,11853
123063,64128,1468
123087,7892,280
123156,1096012,8377
123303,5867,300
123476,3831,282
123541,1164613,8250
123598,1442491,8610
123979,139295,1399
124080,44725,870
124082,97497,751
124135,58540,780
124136,24205,497
124518,37490,356
124594,3813,194
124688,3101368,2928
124695,100340,1459
125020,3068,223
125105,25973,347
125179,77564,1644
125642,1019655,11785
126095,11055,70
126098,24766,426
126135,29148,482
126137,51935,622
126155,3179,293
126184,6679,202
126226,2309,63
126500,136721,225
126605,9188,255
126609,63903,507
126729,3119,198
126771,11500,252
127140,2267239,14404
127378,1585446,10513
127448,21304,382
127516,978,200
127608,1464973,18701
127775,23174,435
127833,1916,196
127977,2350495,2103
128056,1101145,4356
128204,882183,10530
128573,7174,228
128607,3611875,28607
128665,23856,387
128672,62929,1131
128768,1227,62
128775,5431235,28775
128935,9695,217
128937,529957,7896
128966,120438,1621
129010,31590,431
129838,30936,369
129848,114017,1782
130089,3992,256
130097,10813,262
130159,54744,155
130175,55020,925
130319,2296280,2293
130383,744537,8820
130422,11286,72
130473,640275,7626
130500,68903,1477
130601,420,203
130628,1979931,2082
130815,71551,2627
130843,4967212,28348
130960,1569,228
131038,5554,66
131165,74468,1695
131198,910849,13491
131200,9370,338
131224,29201,319
131387,1608912,19705
131398,167585,779
131486,210057,4673
131545,43907,145
131565,635629,6692
131588,31445,799
131797,70891,1692
131896,23808,111
131896,38343,363
131983,65928,1048
132188,14532,313
132238,67917,697
132602,9892,181
132726,9958,275
132934,48963,480
132976,4287,65
133176,106725,200
133408,23359,491
133506,604,259
133862,168446,4106
133918,70344,1440
134049,4310869,25550
134454,2909,277
134456,53862,855
134484,86084,1238
134629,26538,119
134679,21842,424
134687,42635,361
134928,28313,431
135041,1068295,13849
135144,17981,411
135281,85601,1726
135593,398602,7872
135809,49584,605
135827,51676,1367
135865,512095,632
135981,11104,341
135981,9223,244
136092,1656911,21228
136150,32354,467
136300,24524211,23426
136856,433534,8877
136977,38337,490
137086,22981,519
137261,60112,160
137280,29475,436
137433,35843,434
137624,8252,263
137853,21845,531
137923,6614211,34082
137949,7063401,37949
138038,40054,524
138171,14105,330
138196,59469,1845
138272,154116,3592
138432,4094,268
138472,26816,468
138581,123573,2047
138725,1339045,16087
138867,1746761,15300
138985,72747,521
139095,28052,431
139174,25578,114
139216,773471,12442
139236,69090,1567
139409,73042,1604
139444,129462,2333
139507,4051738,3639
139570,127338,2970
139592,72275,672
139623,36543,425
139633,14775,384
139913,73222,175
140253,1922218,29577
140354,51728,979
140419,6172,266
140420,160900,3347
140444,7331,234
140445,141432,1762
140472,3964181,29130
140489,48640,1238
140639,68233,1639
140643,2096638,24033
140650,70831,787
140958,118143,214
141083,747808,8646
141210,876364,10484
141349,67281,587
141537,788222,12077
141539,31303,551
141622,24662,443
141646,107076,3140
141977,7706384,7649
142053,6602,72
142154,60976,478
142217,6796,287
142361,28036,341
142571,30474,641
142842,7607,263
143126,8737,289
143370,16257,375
143514,46815,149
143556,4039428,40689
143834,3491,278
144121,3851974,31466
144280,54865,565
144522,213938,5522
144571,175944,5543
144585,306760,3555
144652,1151927,16910
144695,4424336,22376
144871,78381,1781
144891,52562,1957
145012,23763,113
145178,31271,497
145459,719792,10408
145475,60838,657
145571,24086,422
145726,21477,423
146060,2807262,34010
146163,38504,841
146334,54594,155
146618,204207,2750
146751,8318708,7918
146794,32222,349
146918,42596,414
146994,8073,254
147162,932822,11015
147232,36720,391
147270,195368,4468
147356,17080,106
147653,2676,273
147727,3204880,47727
147746,31010,117
147830,1685,185
147961,14667,329
147968,1251213,17348
148090,22022,453
148157,39239,688
148203,79488,851
148477,1233315,13958
148586,4429,265
148842,23851,111
149040,274338,5204
149055,135605,1782
149158,50842,1111
149330,1917507,21267
149331,45876,495
149357,47109,1074
149416,581003,10838
149547,492791,7011
149843,1377377,1358
150096,77323,907
150457,2488498,26434
150853,3125379,25415
151159,71839,1273
151447,139214,1604
151669,3636211,46138
151821,169003,2607
152204,2679223,28893
152297,1088087,9787
152778,1295527,19268
152828,2117320,31860
153389,840694,22871
154571,2843844,33620
154730,12026669,47923
154995,196637,6102
155539,2759495,26436
156018,1007495,7008
157103,8587401,8344
157341,1119616,9002
157437,1374537,19772
157681,7975317,57681
157916,1094999,12078
158221,4069234,41516
158490,5907177,25362
158616,3768431,58616
159094,7302855,59094
159215,439298,9331
160096,1696306,23505
160110,2386460,23084
160183,4752764,29241
160606,1400704,17709
160779,3867338,38689
161371,9817082,40419
162824,1010412,16132
162834,4308366,45560
163494,1741955,23987
166148,5038804,52035
166843,3994786,36130
166960,1676107,26350
167371,8459900,67371
168130,1969398,36705
168653,4858666,36888
168707,6341511,27551
169566,1944504,37124
170189,9270297,36188
172152,26394354,22691
172153,1196837,22707
172179,4405367,34138
173053,2890668,29069
173441,3514994,50599
173607,7355542,65874
174080,8168865,74080
175094,1943940,27546
175454,5825035,66680
177408,7143971,49831
178566,7547485,56543
178684,7895410,46078
179000,8859777,56073
180209,14309526,79626
183682,14957281,70980
184656,4667441,42531
185647,6659869,49293
186194,6307656,84522
186729,9404792,54996
188543,3071996,54427
188730,4465701,72636
189564,9823678,89564
191624,15198199,74682
193436,5527188,86368
193869,8219807,54601
194137,10487334,73811
195944,16863030,74192
196035,6371843,94454
196986,28541335,96986
197142,28975922,86711
197978,9708202,97978
198778,8896197,69640
204099,14322356,91507
204683,5516258,84114
210930,28468041,82108
212559,8837324,112384
213041,13621029,113041
214287,9550564,114287
214864,27183205,114864
217876,12706621,104311
220015,7830866,83530
222236,8277791,90468
223253,8437518,86522
227634,9933187,80098
230347,19667757,130347
237192,9671629,96334
247419,29412042,116082
277545,22170968,165677
282654,23134120,134969
282781,29426845,182781
285862,29704438,167814
292698,29783305,161916
