CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100067,6845,67
100110,22157,110
100117,31186,117
100120,34824,120
100121,289,121
100122,100,122
100122,574,122
100124,38557,124
100140,1298,140
100150,2603,150
100157,3905,157
100160,60329,160
100160,61045,160
100170,72525,170
100172,5358,172
100172,4905,172
100178,5240,178
100179,5018,179
100180,5931,180
100189,6613,189
100199,7910,199
100200,8029,200
100201,8102,201
100203,8759,203
100204,9257,204
100208,7887,208
100216,10199,216
100231,8580,231
100235,12590,235
100249,12346,249
100257,5976,257
100260,11511,260
100276,712,276
100277,2302,277
100319,14166,319
100324,18450,324
100347,18473,347
100368,20099,368
100374,17522,374
100387,20348,387
100398,20819,398
100406,14726,406
100407,27308,407
100426,24512,426
100430,28405,430
100439,22118,439
100442,31649,442
100457,29658,457
100465,22004,465
100473,28096,473
100505,14582,245
100514,35878,514
100541,41218,541
100592,485965,592
100605,45504,605
100613,29525,613
100618,42612,618
100636,47906,636
100736,40993,736
100742,43864,742
100748,48668,748
100779,51575,431
100796,3700,167
100822,26744,260
100822,24690,270
100877,132368,497
100915,53195,915
100915,57479,915
100928,72591,928
101054,76779,1054
101090,90642,1090
101106,70833,1106
101154,1087637,1154
101199,70700,1199
101226,66943,1226
101255,1329291,1255
101312,77120,1312
101431,1441543,1431
101536,60965,520
101584,99977,1584
101639,13072,172
101686,106089,561
101705,60418,435
101894,57535,824
101968,53213,577
101971,6183,215
102011,25741,412
102066,155636,968
102101,179862,2101
102173,67554,450
102331,2024,169
102356,26271,313
102375,54506,472
102509,76174,465
102666,126115,2666
102814,3213,227
102872,321577,2872
103131,171907,3131
103268,469878,3268
103488,27912,483
103567,395343,3567
103651,180688,3651
103924,377313,3924
103975,81852,556
104462,70918,789
104679,30553,443
104751,5207,250
104826,845521,4826
104853,41154,510
104909,19812,383
104945,68069,655
105124,6423,270
105326,644908,5326
105426,853,61
105570,528372,5570
105637,464337,5637
105698,47507,541
105720,27492,311
105791,24844,326
105818,571022,5818
105921,4093948,3595
105977,1090889,5484
106129,1051778,6129
106463,345366,3978
106515,950204,6515
106602,8151,264
106788,70007,170
106864,25302,382
106901,9315,229
106911,1158511,6911
106951,33884,327
107183,824647,827
107248,45985,594
107320,199695,2576
107321,8565,215
107428,12307,266
107513,10829,249
107721,49327,511
107762,14964,327
107874,73313,988
107889,1019235,7889
108065,49969,958
108255,4862,253
108522,2582890,2468
108849,805128,808
108924,65538,1263
108926,45423,484
108934,42332,520
108965,51047,648
109086,47627,625
109110,4910678,4334
109205,38386,132
109230,69399,711
109263,1481289,1803
109270,33867,692
109347,8644,241
109381,1757987,9381
109511,127694,236
109527,13411,72
109572,695363,4090
109644,50453,726
109732,786853,9732
109747,6910,281
109915,1206532,9915
109958,2512428,9958
110099,68361,1808
110245,38,215
110311,11488,308
110460,3013080,10460
110698,21754,339
110983,10829,307
111042,55556,157
111061,1395112,11061
111065,48343,578
111125,42979,136
111398,23416,477
112045,25575,382
112202,4841214,4425
112299,34416,408
112311,1091214,12311
112343,18669,447
112483,16799,365
112556,1889305,7774
112618,692459,7142
112655,728038,9625
112662,2634426,12662
112703,8908,156
112876,587993,5970
113118,195169,2763
113289,9949,316
113334,19952,335
113362,4885,219
113438,34722,344
113487,176614,2614
113536,32564,332
113549,2918,219
113614,1446268,13109
113650,4165,239
113714,63435,524
113869,1877587,13869
113904,4711,228
114053,1839193,11428
114133,1346392,14133
114291,2456412,14291
114323,22747,110
114411,10694,246
114442,2303850,14442
114587,726546,8181
114870,9662,233
114986,805246,8338
115227,1861912,15227
115388,1533544,15388
115389,55979,433
115692,65185,1320
115696,1954126,15696
115943,245515,1050
116140,23847,458
116170,1716569,5679
116564,2066236,16547
116628,40484,409
116905,1615,220
116956,6179,228
117327,192061,1149
117489,33295,415
117598,152980,1612
117601,1942081,17601
117605,6072,315
117643,41234,652
117732,1799539,11882
117853,7694,278
117902,23780,401
118293,29264,494
118477,146125,1366
118645,12849,258
118830,8894,71
118885,101974,1664
118959,156837,3332
119228,657921,1673
119323,5615,288
119336,8522,270
119398,1217,233
119551,4995840,4331
120178,686199,5049
120238,923,62
120279,14775,376
120513,4049,243
120600,1525178,1420
120610,1777870,20610
120708,865154,9812
120783,103331,734
120860,13305,249
120961,23413,476
121106,2566,194
121113,397905,7746
121249,1678978,21249
121560,77956,1403
121695,68866,167
121699,41831,366
121948,398245,555
121955,5944,158
122095,35336,426
122114,1464973,13207
122241,530,229
122295,64128,700
122353,1253,264
122546,4911,65
122683,1096012,7903
122705,37499,1023
122850,1589354,18297
123011,1164613,7720
123133,7892,326
123306,5867,303
123321,2932159,23321
123471,3831,277
123848,44725,639
123918,100340,682
124112,24205,473
124203,1585446,7338
124405,2595309,24405
124562,1442491,9573
124593,58540,1239
124597,37490,434
124603,3813,203
124679,3101368,2919
124960,139295,2379
125041,3068,244
125119,25973,362
125241,1019655,11383
125344,77564,1809
125509,97497,2177
126097,11055,71
126120,3179,258
126130,24766,458
126141,29148,488
126188,6679,206
126226,2309,63
126500,136721,225
126572,9188,221
126588,63903,487
126749,51935,1234
126753,11500,234
126826,3119,294
127011,529957,5970
127411,3611875,27411
127431,21304,364
127586,978,270
127905,23174,565
127929,1916,292
127986,2350495,2112
128004,120438,659
128045,882183,10370
128529,7174,184
128639,23856,361
128645,114017,579
128712,2267239,15977
128768,1227,62
128905,9695,187
128946,31590,367
129128,62929,1587
129268,1101145,5569
129516,210057,2703
129824,55020,574
129835,30936,366
129911,71551,1723
130116,3992,283
130144,10813,309
130161,54744,157
130161,2296280,2134
130198,68903,1174
130220,74468,750
130423,11286,73
130447,1979931,1901
130513,744537,8950
130513,635629,5640
130593,640275,7747
130597,420,200
130819,168446,1063
130962,1569,230
131034,1608912,19352
131040,5554,67
131101,9370,240
131247,29201,342
131418,167585,800
131545,43907,145
131571,31445,783
131673,910849,13965
131896,23808,111
131941,38343,408
132149,14532,273
132166,773471,5392
132222,70891,2116
132274,65928,1338
132580,4967212,30086
132649,9892,228
132690,9958,238
132949,48963,495
132977,4287,65
133163,67917,1622
133175,106725,199
133345,23359,428
133378,1068295,12187
133462,604,215
134072,70344,1594
134194,53862,593
134359,6614211,30519
134417,2909,240
134500,86084,1255
134625,26538,115
134655,42635,329
134683,21842,428
134686,85601,1131
134949,28313,453
135097,17981,363
135287,398602,7566
135304,24524211,22429
135445,5431235,35445
135813,512095,580
135880,51676,1419
135885,49584,680
135943,11104,303
136006,9223,269
136089,32354,406
136366,1922218,25689
136548,2096638,19937
136819,4310869,28321
136837,747808,4400
136858,2679223,13547
137010,22981,443
137062,38337,575
137265,60112,163
137339,35843,340
137485,29475,641
137658,8252,297
137713,21845,391
137914,40054,400
137961,59469,1609
138160,14105,319
138395,73042,590
138418,69090,749
138419,4094,254
138420,26816,415
138446,154116,3766
138604,127338,2003
139073,28052,409
139118,123573,2584
139173,25578,113
139262,107076,755
139418,4051738,3550
139494,72747,1030
139629,14775,380
139662,36543,465
139761,1339045,17123
139791,48640,539
139880,129462,2769
139885,72275,965
139914,73222,176
139979,51728,604
140293,160900,3220
140379,6172,227
140446,7331,236
140626,68233,1626
140686,1746761,17119
140760,433534,12781
140867,141432,2184
140959,118143,216
141326,67281,564
141381,31303,392
141416,719792,6365
141471,788222,12011
141512,70831,1649
141568,1656911,26705
141645,24662,466
141737,7706384,7409
142049,6602,68
142059,4424336,19740
142150,3964181,30809
142163,6796,233
142269,60976,594
142356,28036,336
142516,175944,3487
142545,30474,615
142680,4039428,39814
142796,7607,217
143035,8737,199
143369,16257,375
143514,46815,149
143759,78381,669
143841,3491,285
144161,213938,5161
144195,54865,480
144230,52562,1297
144749,306760,3719
144836,204207,968
145010,23763,111
145053,31271,372
145093,2807262,33043
145301,1151927,17559
145459,60838,642
145531,24086,382
145739,21477,436
145959,1917507,17896
146036,195368,3234
146210,38504,889
146334,54594,155
146559,8318708,7726
146778,32222,334
146925,42596,421
147045,8073,305
147210,1233315,12691
147295,36720,454
147300,581003,8722
147356,17080,106
147563,932822,11416
147594,2676,213
147602,1088087,5093
147746,31010,118
147816,39239,346
147957,1685,312
148036,79488,684
148039,135605,766
148105,14667,474
148138,22022,500
148528,4429,207
148573,3851974,35918
148776,50842,729
148842,23851,111
149129,492791,6593
149215,47109,932
149309,45876,473
149590,876364,18864
149671,1251213,19052
149805,2117320,28837
149826,1377377,1340
149853,274338,6017
149971,77323,782
150482,1295527,16971
151180,71839,1295
151250,139214,1407
151580,2759495,22477
151688,169003,2474
151910,3768431,51910
153049,3636211,47517
153155,2488498,29132
154199,439298,4316
154407,3125379,28969
154978,1374537,17313
155124,1007495,6115
155626,840694,25109
155722,12026669,48914
156743,7063401,56743
156755,8587401,7997
157535,1400704,14638
157815,7975317,57815
158031,5907177,24904
158986,196637,10093
159042,3204880,59042
159200,1010412,12508
159253,9817082,38301
159494,4069234,42789
159634,1119616,11295
159658,2386460,22632
160352,1094999,14514
161058,4752764,30116
162165,1741955,22657
162559,3867338,40469
163653,7302855,63653
163756,2843844,42806
164291,1696306,27699
165676,3994786,34962
167891,4308366,50617
167906,9270297,33905
168503,6341511,27347
168852,1676107,28242
170979,5038804,56865
171614,8459900,71614
172171,1944504,39730
172269,26394354,22808
173839,1943940,26291
174437,7355542,66703
174451,4405367,36410
174838,4858666,43074
175034,1969398,43609
175316,2890668,31333
175319,7143971,47743
176056,8168865,76056
176139,7895410,43534
178106,1196837,28660
181762,8859777,58835
182155,5825035,73380
182585,14309526,82002
184450,14957281,71747
185098,7547485,63075
185169,6659869,48814
185713,9404792,53980
185784,16863030,64032
188890,4667441,46765
189138,3071996,55022
189854,3514994,67012
190506,10487334,70181
190834,4465701,74740
193927,8219807,54659
195133,15198199,78191
196093,9823678,96093
197275,28975922,86844
197449,6307656,95777
199813,28541335,99813
203777,5527188,96710
203892,9708202,103892
204521,8896197,75383
206981,5516258,86411
208669,6371843,107088
211453,28468041,82630
212668,27183205,112668
212811,14322356,100219
219048,8837324,118873
220586,13621029,120586
221174,7830866,84688
221463,9550564,121463
222246,12706621,108681
224962,8277791,93194
229881,9933187,82345
230325,8437518,93594
236468,19667757,136468
237945,9671629,97088
250758,29412042,119421
280561,29426845,180561
280861,22170968,168994
288100,29704438,170052
288502,23134120,140818
296041,29783305,165258
