CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100067,6845,67
100110,22157,110
100117,31186,117
100120,34824,120
100121,289,121
100122,100,122
100122,574,122
100124,38557,124
100140,1298,140
100150,2603,150
100157,3905,157
100160,60329,160
100160,61045,160
100170,72525,170
100172,5358,172
100172,4905,172
100178,5240,178
100179,5018,179
100180,5931,180
100189,6613,189
100199,7910,199
100200,8029,200
100201,8102,201
100203,8759,203
100204,9257,204
100208,7887,208
100216,10199,216
100231,8580,231
100235,12590,235
100249,12346,249
100257,5976,257
100260,11511,260
100276,712,276
100277,2302,277
100319,14166,319
100324,18450,324
100347,18473,347
100370,20099,370
100374,17522,374
100381,20348,381
100416,14726,416
100429,31649,429
100432,27308,432
100433,20819,433
100434,24512,434
100440,22118,440
100448,28405,448
100451,41218,451
100457,29658,457
100470,35878,470
100512,28096,512
100548,22004,548
100562,45504,562
100568,48668,568
100578,47906,578
100590,29525,590
100607,40993,607
100607,14582,348
100614,42612,614
100615,485965,615
100650,43864,650
100764,70700,764
100770,70833,770
100810,72591,810
100810,90642,810
100813,53195,813
100829,77120,829
100850,76779,850
100928,57479,928
100951,3700,322
100993,66943,993
101053,99977,1053
101080,24690,527
101196,1087637,1196
101255,1329291,1255
101308,26744,746
101326,179862,1326
101390,51575,1042
101463,1441543,1463
101483,321577,1483
101519,57535,449
101741,13072,275
101808,60418,538
101867,106089,742
101929,53213,537
102009,6183,254
102038,25741,439
102205,377313,2205
102268,126115,2268
102281,67554,558
102472,2024,309
102491,60965,1475
102515,76174,471
102537,26271,494
102624,54506,721
102717,132368,2336
102841,3213,255
103009,171907,3009
103401,469878,3401
103612,845521,3612
103718,345366,1233
103865,27912,860
103908,180688,3908
104160,395343,4160
104359,70918,686
104602,30553,366
104679,155636,3582
104799,81852,1380
104893,5207,393
104899,41154,556
104964,68069,674
105009,19812,483
105073,6423,219
105396,644908,5396
105426,853,61
105673,464337,5673
105737,27492,327
105904,4093948,3579
106062,24844,598
106585,1051778,6585
106757,8151,419
106791,70007,173
106972,9315,300
107046,47507,1889
107189,25302,708
107194,824647,838
107387,45985,732
107428,33884,804
107433,1019235,7433
107468,12307,306
107552,10829,289
107576,8565,470
107903,49969,796
108057,3013080,8057
108119,14964,684
108131,49327,921
108277,1395112,8277
108334,4862,332
108400,571022,8400
108536,2582890,2482
108537,692459,3060
108537,528372,8537
108819,1158511,8819
108831,805128,790
109004,199695,4259
109060,4910678,4284
109078,68361,787
109117,51047,800
109123,33867,544
109144,1481289,1685
109160,42332,747
109204,38386,132
109316,45423,874
109363,47627,902
109478,786853,9478
109492,8644,386
109517,127694,242
109527,13411,72
109783,6910,318
109875,50453,957
109975,1206532,9975
109982,1889305,5200
110367,11488,365
110438,73313,3553
110442,38,412
110489,1954126,10489
110507,65538,2846
110880,950204,10880
110926,21754,567
111000,69399,2482
111043,55556,158
111117,42979,127
111128,10829,452
111197,48343,710
111295,1757987,11295
111413,1533544,11413
111447,1839193,8822
111486,2512428,11486
111631,23416,710
111838,176614,965
111953,695363,6471
111958,1091214,11958
112177,25575,513
112288,4841214,4511
112337,34416,446
112451,18669,554
112644,16799,526
112724,8908,177
112726,587993,5820
113260,1090889,12767
113376,2456412,13376
113416,34722,322
113422,4885,279
113492,9949,519
113653,19952,655
113666,2918,336
113688,32564,483
113750,4165,340
113766,63435,576
114149,4711,473
114164,2634426,14164
114233,728038,11203
114325,22747,112
114344,1877587,14344
114417,10694,252
114937,9662,300
115208,397905,1841
115599,65185,1227
115637,55979,681
115724,1446268,15218
115882,805246,9234
116154,195169,5799
116303,245515,1410
116438,23847,756
116649,1716569,6158
116871,156837,1244
116905,40484,686
116933,152980,947
116971,1615,286
117194,6179,465
117336,192061,1158
117503,2303850,17503
117504,41234,513
117544,6072,254
117703,1942081,17703
117871,7694,296
117985,33295,911
118132,146125,1020
118161,101974,940
118203,2066236,18186
118261,23780,761
118342,2595309,18342
118417,29264,618
118476,1861912,18476
118634,1799539,12783
118709,12849,321
118793,726546,12387
118829,8894,70
119244,8522,178
119364,5615,329
119448,1217,283
119534,4995840,4314
119643,657921,2088
119860,1096012,5080
120238,923,61
120409,1346392,20409
120543,686199,5414
120557,14775,653
120577,1525178,1397
120681,4049,411
120819,103331,770
120876,13305,265
121021,23413,535
121152,2566,240
121296,77956,1139
121696,68866,168
121791,1589354,17238
121833,1164613,6541
121869,41831,536
121926,398245,532
122146,5944,349
122146,35336,478
122225,530,212
122390,1253,301
122546,4911,65
122721,64128,1126
123024,37499,1342
123125,7892,318
123353,1442491,8365
123512,3831,318
123544,5867,541
123704,865154,12808
123921,139295,1341
124173,2932159,24173
124248,44725,1038
124253,58540,899
124281,24205,642
124648,3813,248
124659,3101368,2899
124828,37490,666
125225,3068,428
125228,1777870,25228
125283,77564,1748
125284,1608912,13602
125305,25973,548
125312,1678978,25312
125838,97497,2507
126100,11055,75
126154,1101145,2455
126226,2309,63
126229,6679,248
126329,29148,676
126362,24766,690
126466,3179,604
126500,136721,225
126654,9188,303
126807,529957,5766
126818,3119,287
126843,51935,1328
126977,63903,875
126984,11500,464
127377,635629,2504
127499,21304,432
127601,978,285
127933,1019655,14076
127950,1916,313
127969,2350495,2096
127973,100340,4737
128003,1585446,11139
128173,23174,834
128248,62929,707
128380,120438,1035
128653,7174,309
128688,3611875,28688
128721,23856,443
128773,1227,67
128777,114017,711
128970,9695,251
129444,31590,865
129668,1464973,20761
129947,30936,478
130062,55020,812
130163,54744,160
130195,10813,361
130211,2296280,2185
130242,744537,8679
130248,3992,415
130283,7063401,30283
130345,1339045,7706
130420,11286,70
130474,1979931,1929
130634,420,236
130771,74468,1301
130968,68903,1945
131017,1569,285
131022,70891,917
131039,5554,67
131358,9370,496
131546,43907,146
131630,29201,725
131633,31445,844
131646,71551,3458
131677,910849,13969
131896,23808,111
131939,65928,1003
132061,38343,528
132304,14532,428
132356,210057,5544
132764,9892,343
132858,9958,407
132976,4287,65
133031,168446,3275
133175,106725,199
133716,604,469
133725,23359,808
133760,67917,2219
133869,5431235,33869
134024,48963,1571
134115,640275,11269
134268,70344,1790
134376,53862,775
134470,86084,1225
134497,2909,320
134615,6614211,30775
134629,26538,119
134826,42635,499
134884,28313,387
134914,167585,4295
135105,21842,850
135361,398602,7640
135435,747808,2998
135442,17981,709
135454,882183,17779
135488,51676,1027
135630,24524211,22756
135835,512095,602
135953,2267239,23217
135969,9223,232
136033,11104,393
136230,85601,2675
136278,49584,1073
136295,32354,612
136777,1922218,26101
137137,38337,650
137264,60112,162
137297,22981,730
137460,29475,616
137570,35843,572
137726,127338,1125
137779,8252,418
137952,4310869,29453
138056,129462,945
138067,154116,3388
138106,21845,784
138191,59469,1840
138263,1656911,23400
138271,14105,430
138598,160900,1525
138659,26816,654
138717,4094,552
138901,73042,1096
139100,433534,11121
139110,719792,4059
139129,2759495,10026
139146,72747,682
139147,40054,1633
139174,25578,114
139204,28052,540
139290,123573,2756
139397,4051738,3529
139678,773471,12904
139747,72275,826
139748,36543,550
139781,4967212,37286
139910,73222,172
139984,14775,735
140014,932822,3868
140154,51728,779
140413,213938,1412
140512,7331,302
140524,48640,1272
140528,6172,375
140594,1746761,17027
140830,68233,1829
140953,118143,210
140996,69090,3327
141096,141432,2413
141263,175944,2235
141443,3964181,30101
141552,107076,3046
141597,31303,609
141615,2488498,17592
141687,1068295,20495
141965,24662,786
141996,7706384,7669
142048,6602,67
142192,4424336,19873
142321,67281,1559
142347,4039428,39480
142400,60976,725
142406,6796,476
142507,306760,1478
142513,28036,493
142583,70831,2720
142640,30474,710
142838,788222,13378
142873,7607,294
143192,8737,355
143514,46815,149
143563,16257,569
143972,78381,881
143983,3491,427
144297,54865,582
144579,2807262,32529
144738,204207,870
145013,23763,114
145308,876364,14583
145322,52562,2389
145652,24086,503
145721,31271,1040
145826,21477,523
145969,38504,648
146019,1088087,3510
146334,54594,155
146351,581003,7774
146579,60838,1762
146626,1151927,18884
146717,8318708,7883
146923,32222,479
147058,8073,318
147139,42596,635
147356,17080,106
147471,36720,630
147712,2676,332
147747,31010,119
147848,195368,5046
147976,1685,331
148057,274338,4221
148203,39239,733
148236,14667,605
148334,22022,696
148398,135605,1125
148649,4429,328
148823,1233315,14304
148842,23851,111
149644,45876,807
149799,1377377,1313
149948,47109,1664
149948,2096638,33337
149977,50842,1931
150425,79488,3073
150572,492791,8035
150740,169003,1526
150910,139214,1067
151920,840694,21402
152083,1251213,21464
152116,77323,2927
152132,1295527,18621
152151,1917507,24087
152208,439298,2325
152615,71839,2729
152823,1007495,3814
155386,3636211,49854
155500,1374537,17836
156012,3851974,43357
156825,3125379,31387
156900,8587401,8142
156919,12026669,50112
157496,196637,8602
157797,2843844,36846
157865,2386460,20839
159223,7302855,59223
160234,9817082,39282
160248,1119616,11909
160475,1010412,13783
160829,3994786,30115
160935,7975317,60935
161682,2117320,40714
161695,3867338,39606
161755,4069234,45051
161968,5907177,28840
161995,1400704,19098
162447,1094999,16609
163978,4752764,33036
164559,1741955,25051
165697,1696306,29105
166087,2679223,42776
166408,6341511,25252
166860,1676107,26250
167495,4308366,50221
168928,3204880,68928
169807,2890668,25823
169824,1944504,37383
170559,8168865,70559
171006,5038804,56893
171044,9270297,37042
171212,4858666,39448
172244,26394354,22783
173837,8459900,73837
174362,4405367,36321
174668,7355542,66934
175658,5825035,66883
177014,1196837,27568
177024,3514994,54182
177571,7143971,49994
177646,3768431,77646
178022,14309526,77439
179192,7895410,46587
179699,3071996,45583
180648,1969398,49223
181198,1943940,33650
182842,16863030,61090
182921,8859777,59994
184119,14957281,71417
184636,7547485,62613
186027,6307656,84355
186956,4465701,70862
186994,4667441,44869
187471,9404792,55738
189875,6659869,53521
191447,9823678,91447
192453,15198199,75512
192465,9708202,92465
193801,10487334,73476
195892,28975922,85462
197815,8219807,58547
199042,28541335,99042
201166,6371843,99585
202212,8896197,73073
202478,5527188,95411
211021,14322356,98430
211264,13621029,111264
212425,28468041,83602
213558,9550564,113558
213715,5516258,93145
215169,27183205,115169
219509,8837324,119334
223409,8277791,91642
224669,7830866,88184
224781,12706621,111216
226748,8437518,90018
228983,9933187,81448
233252,19667757,133252
240785,9671629,99927
250640,29412042,119304
273541,22170968,161674
286372,29426845,186372
286598,29704438,168550
287036,23134120,139352
293444,29783305,162662
