CompletionTime_us,FlowSize_B,FCT_us
116072,7725,164
116182,22022,303
116317,5268,65
116333,8908,181
116383,58808,2346
116471,3336112,4873
116507,62635,1886
116528,1068295,1297
116554,4020,64
116569,77372,1054
116575,434914,7106
116593,58540,641
116620,4394,65
116679,2401,160
116726,35087,663
116770,9987,209
116843,28622,282
116870,901928,16870
116933,77956,2182
117001,38975,531
117022,2465,64
117083,132315,4018
117089,50266,1108
117211,51870,1101
117218,3649,164
117237,6161,179
117377,839807,17377
117484,78213,1334
117504,14775,320
117582,72524,2054
117633,3905,234
117725,77374,658
117787,380113,469
117816,65196,169
117843,29581,455
117843,7825,167
117924,197726,286
117943,26744,401
117968,31649,524
118009,61635,804
118026,70833,672
118035,24512,112
118057,9044,192
118093,2553,170
118093,146866,1354
118135,3992,158
118147,670897,14114
118295,7958,98
118336,586045,11848
118339,571234,14688
118407,18965,299
118409,32189,542
118432,86738,518
118468,134989,6669
118482,18414,303
118529,2738,175
118549,76418,1356
118577,28113,293
118622,2280,179
118662,7419,156
118689,13072,190
118776,118143,2687
118814,9772,163
118831,31445,401
118868,1008312,17545
118875,7248,183
118941,51488,367
118955,9050,185
119011,5853,194
119083,294466,12043
119137,918703,19067
119163,54744,1763
119191,2525640,2422
119261,161285,250
119339,346074,11665
119385,78880,2667
119450,1285987,19450
119499,1657609,1703
119562,68712,2981
119589,29557,514
119591,327554,9048
119708,12849,195
119730,24459,313
119876,25741,302
119913,56970,739
119927,23501,360
119973,12307,231
119989,753885,19989
119999,5068,205
120013,1115,196
120015,24136,308
120044,10487334,13269
120160,687,139
120270,1096012,20270
120340,183242,6374
120419,25443,115
120541,76714,1036
120604,18293,290
120690,29379,316
120749,177878,5701
120817,28779,321
120856,72696,1329
120920,60329,1293
120955,3488,227
121007,38021,564
121012,16785,311
121054,30094,406
121067,22947,272
121080,12488,178
121128,44886,748
121129,54164,1329
121162,28313,117
121182,6342787,8636
121201,56460,157
121245,329824,9068
121247,195368,4472
121264,3749,183
121310,155636,3589
121460,22004,259
121543,549,166
121587,6602,194
121719,837,164
121793,420847,16934
121794,21457,320
121802,68127,406
121806,25747,119
121920,66369,2461
121952,31085,284
122043,3719,159
122178,4406,175
122209,39447,320
122225,732780,14025
122256,90258,1889
122344,3911,150
122439,60861,1064
122509,8275,207
122516,38513,405
122527,73623,1460
122557,58056,1066
122631,54865,661
122649,48927,749
122668,29201,396
122893,69082,2368
123108,6613,67
123109,4086,174
123249,71376,1172
123268,23537,312
123276,9722,194
123368,26593,428
123391,6072,185
123440,25800,114
123511,1298,190
123534,31500,296
123678,20734,110
123689,55556,434
123694,43966,146
123782,148884,239
123850,56695,561
123916,10607,210
123942,9689,199
124010,27874,324
124079,16898,268
124079,59770,903
124107,74967,2402
124109,2324,145
124217,17331745,15761
124305,44572,1120
124338,28080,279
124358,527017,19433
124529,19791,309
124569,70699,974
124595,71313,1150
124603,9952,222
124612,566076,10397
124632,23821,112
124712,9257,171
124746,174264,8034
124998,33828,307
125051,5175,172
125163,54525,1720
125242,6057,159
125263,8896197,13042
125430,44021,158
125439,66943,1526
125451,1324503,1402
125521,1611,182
125533,22335,331
125701,19812,279
125800,1110877,22219
125843,60393,505
125852,11582,208
125937,208386,6934
125982,1081956,21285
125993,15655,284
126016,48598,545
126195,18360,312
126206,11510,189
126212,64128,1004
126243,2528,207
126271,69086,1427
126272,2309,151
126305,14132,227
126306,13470,183
126323,65185,1424
126334,64989,1780
126337,42728,469
126418,69628,1388
126447,95426,196
126555,47627,413
126590,24467,301
126640,18396,317
126640,492296,15022
126706,5769,202
126797,14072,181
126815,789152,906
126832,25809,331
126992,15528,294
127016,854,194
127074,7174,182
127240,1462,161
127263,9701,69
127316,29525,426
127349,166907,5341
127406,685,178
127454,5144,180
127538,18983,309
127587,137889,4599
127661,4650,206
127679,48855,424
127689,1683228,1701
127711,23035,284
127770,33676,361
127796,8073,246
127951,41805,726
127954,38887,642
127979,3532,165
128017,1347324,28017
128126,20957,277
128200,42500,128
128244,14582,183
128263,1208575,28263
128265,34416,388
128268,72524,1209
128278,28096,303
128287,15252,298
128319,103680,1561
128339,21215,312
128349,8397,208
128374,9892,167
128382,1965,212
128403,6548,160
128425,151818,3816
128428,5072,211
128430,8712,247
128484,114125,3704
128484,27703,445
128488,69074,1381
128507,57891,2038
128600,35489,123
128652,1292044,28652
128713,147679,236
128773,152506,243
128799,99977,2458
128828,51479,1399
129042,8326,179
129053,61059,1650
129300,46106,1120
129419,20504,109
129422,16737,307
129499,59766,1155
129535,23231,316
129578,5615,192
129626,20773,296
129636,3402,209
129689,32354,440
129751,123573,5603
129913,6118,66
129956,89343,184
129956,58301,158
129978,14775,302
130077,44674,926
130103,37737,663
130106,622947,17803
130143,5554,191
130185,53213,1747
130189,79905,2622
130211,923,164
130228,73313,1068
130251,194032,8039
130307,44390,626
130312,66143,1471
130397,38,163
130423,46989,870
130494,543590,14805
130509,33727,120
130548,6574,179
130659,1228012,22831
130708,31186,117
130726,49385,400
130727,25958,435
130878,950204,30878
130986,51728,462
131007,8565,196
131076,5751,171
131089,4939,196
131149,78386,1709
131215,38460,683
131232,29271,399
131252,657921,858
131369,9822,217
131482,31303,420
131533,13949,185
131536,540700,654
131611,1770720,27177
131632,39842,674
131651,8356,220
131677,39694,126
131681,934,190
131709,61609,1465
131717,119051,4464
131754,24677,312
131813,59489,1522
131949,27025,304
131984,6547,172
132019,46967,877
132033,16219,316
132041,52426,1128
132199,51575,1493
132218,6129,88
132225,1119600,32225
132233,34125,567
132341,1512,183
132390,434677,8624
132465,9069,188
132476,46355,1073
132477,37490,510
132498,8737,210
132514,120526,212
132792,2595309,2436
132918,40484,647
132988,22235,306
133014,23687,285
133079,1072888,24658
133103,41684,534
133169,31271,352
133242,154116,3673
133329,79709,177
133365,70596,537
133383,55616,985
133405,39720,440
133472,66833,1145
133651,53039,668
133749,3491,189
133826,8252,172
133861,225136,7689
133867,7239,174
133960,910849,28057
134044,17080,284
134047,224,179
134181,1176,178
134201,44135,228
134213,46700,905
134219,41314,771
134225,77184,3045
134255,23856,287
134297,398602,16889
134436,40382,813
134524,5764,66
134543,132928,6266
134571,290491,11168
134592,19371,302
134771,1229915,1308
134849,47109,745
134891,27510,457
134893,4049,162
134942,4039,175
134962,560199,20033
135234,23332,351
135239,26133,302
135394,11104,193
135427,77560,3527
135469,45816,1139
135537,1693,173
135559,3818,170
135570,1725942,34151
135681,36527,370
135716,61295,1192
135763,24259,116
135902,71168,941
135967,833426,23726
136004,801992,1186
136078,19009,328
136084,54509,1923
136129,23520,338
136222,1267,200
136362,83951,4290
136450,440223,11581
136475,1405439,1860
136478,72867,2407
136544,40054,718
136580,67003,165
136648,14790,297
136658,1441543,1497
136697,26376,407
136714,43336,395
136766,296519,11260
136862,78088,179
136876,54506,446
137092,61230,494
137115,73086,1306
137252,156837,7501
137288,75981,2559
137298,8551,264
137374,34679,508
137395,5312,165
137405,857737,22134
137526,176659,5240
137581,61681,161
137658,4727,183
137662,30302,426
137703,22462,281
137929,5694534,5660
137976,41557,129
137998,26684,402
138135,38512,422
138174,24473,270
138238,8972,226
138309,99843,194
138507,8213,182
138543,68943,2148
138576,27102,388
138699,5229,198
138706,6681,178
138729,24772,435
138739,52562,1387
138743,849040,38436
138753,5760,196
138886,13234,232
138967,74468,2279
139016,904382,22949
139054,3068,198
139137,8644,188
139243,485,201
139268,24837,358
139308,49969,846
139401,30771,433
139454,56582,940
139523,32645,487
139587,7337,219
139613,23851,328
139636,42332,918
139660,397905,17195
139662,721802,25808
139667,9999,181
139741,2032,63
139742,15538,299
139776,34270,583
139892,65008,164
139956,38507,1089
139991,118814,5599
140130,18709,318
140177,531,196
140195,66371,1823
140228,56508,1173
140234,103033,2072
140340,44473,788
140343,688350,755
140355,63435,163
140367,52856,1669
140385,4125,172
140417,11603571,10953
140464,8337,185
140480,55123,1650
140504,1728,161
140505,128623,5004
140512,4711,158
140538,72747,826
140570,15328,292
140586,3128,175
140620,156572,7007
140625,2755,63
140659,134202,6987
140675,1652224,40675
140733,38337,128
140906,2302,181
140907,9830996,9325
141036,452649,19744
141063,72525,3291
141145,58284,1368
141152,2122,201
141154,208536,289
141200,42105,844
141231,359,183
141260,31331,118
141303,147819,6930
141317,1608912,41311
141375,35672,562
141403,38343,343
141530,39618,459
141567,141432,230
141637,23533,359
141645,40822,127
141675,1934,176
141686,15164,103
141828,1666,193
142030,1162468,33668
142042,61035,1134
142094,4740,178
142210,8232,162
142271,79964,3698
142319,52110,1112
142328,61346,162
142335,97497,3967
142337,8522,186
142442,4684413,4458
142464,1217,161
142492,32222,120
142525,78984,3108
142550,7802,162
142660,40419,649
142677,103331,198
142708,23244,368
142734,42635,743
142737,528372,24727
142738,132368,7122
142740,20212,325
142845,8926,227
142905,1365663,24952
142956,63007,196
143014,23293,313
143014,321577,12465
143026,882183,1042
143032,2144,63
143080,45515,1455
143100,603720,801
143213,35058,431
143254,129566,224
143334,1150,196
143381,42041,702
143421,20630,110
143444,4096,64
143469,6415,158
143515,192061,11258
143520,41234,801
143581,744159,986
143721,42828,132
143778,7256,202
143794,140980,5722
143822,17522,319
143823,71400,206
143989,64734,1038
144018,23841,338
144121,7454,174
144131,88779,4257
144199,41831,696
144226,76172,2430
144260,16093,321
144397,37909,336
144403,8692,170
144439,5358,198
144456,1056596,44456
144466,101678,3919
144488,69912,1585
144552,306760,11834
144555,375697,12956
144567,18350,384
144671,77027,995
144741,53271,638
144743,78096,1190
144757,58832,1901
144827,141114,233
144902,46375,875
144919,34260,668
145014,49240,151
145027,171907,3596
145034,28036,478
145053,16066,308
145086,374,184
145154,76805,2212
145154,13503,72
145172,8089,226
145220,3842,182
145227,544038,16801
145264,42541,740
145270,63674,940
145272,60854,1868
145302,9269,232
145388,25122,420
145419,12460,227
145422,251755,11299
145520,4905,235
145548,28413,455
145617,2959,166
145674,5014,190
145962,63175,1666
146076,1341589,42148
146265,6762,183
146298,1101145,2909
146421,199695,8746
146468,6777,191
146484,10694,210
146513,2725257,6855
146513,48343,1466
146547,61167,1811
146582,1000305,1145
146617,5976,217
146622,55049,159
146637,6679,204
146659,197524,12699
146703,25535,364
146756,21593,322
146888,51232,609
146945,2679223,3686
147138,8124243,9450
147250,17577,306
147297,1533544,47297
147444,21842,112
147520,9695,175
147570,1131747,42546
147628,9255,207
147709,2339,215
147796,4088770,3845
147831,67917,2157
148179,55659,1072
148326,180688,12233
148349,21436,379
148384,5936,183
148408,47507,1404
148427,53284,1038
148487,49157,1150
148673,68944,3192
148706,2759495,2613
148764,5190,216
148866,51465,1403
148879,54420,1076
148910,5837,170
148937,42052,127
148959,5768,187
148967,77120,2949
149105,25598,348
149122,11582,198
149135,38432,730
149157,29784,460
149164,1032,170
149168,95406,1994
149195,26031,365
149197,31645,429
149214,60976,161
149217,334,180
149485,24686,317
149498,6172,200
149584,23631,308
149739,1077,170
149758,29311,446
149780,29475,443
149873,21620,319
149940,74285,1574
149956,31314,471
150018,25186,360
150065,67580,170
150166,611242,29672
150194,11160,231
150349,203817,9319
150370,31768,120
150403,686199,31976
150403,4677,184
150459,30883,501
150505,31741,118
150516,7887,188
150537,21415,306
150561,61403,161
150614,22157,279
150703,22159,327
150756,1761300,50496
150757,831,181
150792,68244,2550
150838,97441,193
150895,395343,15406
150931,508090,20871
150932,48800,1468
151146,73222,1507
151146,2948,218
151148,22593,325
151327,7162,211
151383,145616,3578
151428,534345,25236
151444,7231,212
151503,5219,207
151542,98605,5410
151562,70831,2786
151661,3813,197
151690,76160,2325
151748,38504,727
151749,358200,17251
151833,67281,3085
151858,804361,44621
151906,5418091,5250
151927,71995,681
151952,72820,2283
151989,23847,362
152012,54993,1639
152021,1357443,39417
152064,40845,452
152078,1599550,51261
152111,4421,200
152156,3426,189
152185,30474,436
152439,163,183
152469,41983,428
152518,12908,202
152582,23913,112
152594,28535,487
152599,22260,367
152728,35664,663
152734,50453,566
152736,118355,4089
152764,1316234,1374
152936,37247,562
152949,55976,2061
152971,644908,15915
152988,23174,372
153041,6636,290
153042,26665,489
153073,512095,23319
153132,51899,155
153135,9929,197
153186,13372,234
153305,36988,698
153320,19753,345
153371,41063,689
153372,24814,316
153377,14724,103
153396,29786,443
153426,169003,10130
153449,3767185,3659
153488,94909,190
153494,57294,601
153519,1019235,43973
153612,52708,1528
153737,33612,126
153767,68069,2002
153792,165224,355
153861,1132317,1250
153915,54594,750
153918,79122,2602
153959,1260669,53959
154068,379274,14788
154092,7334,199
154143,9662,69
154157,120105,8251
154172,11500,207
154194,903451,1067
154323,122610,5965
154363,1362745,1442
154370,23383,336
154431,876364,21147
154500,7528,199
154575,6423,194
154704,356530,19833
154756,1893,184
154768,1346392,1409
154884,56316,157
154921,18022,314
154942,115,200
154980,10199,215
154991,41905,735
155000,25799,331
155033,31590,381
155035,345366,17151
155039,837102,43333
155060,44013,582
155078,64632,2269
155089,6136,189
155101,34304,592
155170,50706,1629
155215,24159,341
155221,4596,191
155256,14309526,13630
155368,5207,208
155398,1335515,46589
155490,1365,62
155639,4371312,4143
155677,25231,445
155735,1201793,43493
155736,20819,300
155787,2870,177
155789,45521,737
155875,70700,1606
155936,179862,12606
155940,54812,1069
155995,29932,477
156062,613453,34177
156128,9068,194
156140,28561,117
156156,39945,556
156294,4506,183
156320,13286,247
156395,1208833,1280
156440,71551,3533
156477,77323,3987
156514,959132,43009
156528,146125,7494
156531,20860,316
156574,100340,5326
156678,27762,406
156741,196637,12469
156822,73042,710
156912,45760,1276
156936,70891,3391
157036,69399,1433
157172,24662,115
157316,15751,342
157462,42979,440
157617,4310,178
157623,2071,185
157677,171326,515
157707,78565,3918
157709,3373,246
157881,27660,454
157909,48963,692
157925,141323,7101
157955,8724,188
157959,575613,31915
158165,65928,2568
158343,129462,8200
158448,78854,176
158488,7876,230
158528,21304,310
158531,9802,70
158552,6444,236
158562,49002,568
158573,3119,254
158579,38715,145
158707,190533,8338
158739,5604,244
158756,14638,343
158855,106089,4211
158866,2180,210
159072,1044900,1216
159181,26036,343
159267,2247627,55902
159359,41809,1015
159683,4429,65
159690,168588,8578
159697,91286,3397
159751,40827,330
159773,78381,1899
159800,4639726,4262
159834,175411,296
159840,18450,338
159930,3700,191
159979,3199745,3365
160027,37240,475
160091,1639961,1607
160100,66535,1468
160123,36419,612
160205,59220,2211
