CompletionTime_us,FlowSize_B,FCT_us
100062,1415,62
100063,2600,63
100065,5018,65
100066,5944,66
100066,6123,66
100067,7331,67
100111,23138,111
100115,27837,115
100116,29658,116
100121,100,121
100139,1956,139
100140,2368,140
100158,54138,158
100162,4187,162
100162,1912,162
100162,4109,162
100167,66082,167
100169,4817,169
100177,6796,177
100177,4214,177
100185,7108,185
100192,6859,192
100196,6257,196
100214,8759,214
100220,9284,220
100235,9342,235
100240,11511,240
100259,10813,259
100285,13305,285
100328,16024,328
100350,23426,350
100350,21693,350
100357,23763,357
100361,14726,361
100362,18223,362
100386,28405,386
100408,23503,408
100413,19330,413
100430,37330,430
100437,35878,437
100483,23546,483
100486,28807,486
100489,46855,151
100494,37232,494
100510,26550,510
100518,28765,518
100522,23103,522
100527,32623,527
100554,526618,554
100557,25575,557
100573,38570,573
100580,35499,580
100580,30484,580
100667,9117,403
100667,46870,667
100686,45504,686
100707,48016,707
100746,54970,746
100754,9281,450
100760,53113,760
100782,26846,555
100808,53236,808
100813,47254,813
100840,14490,378
100852,50842,852
100857,55225,857
100858,75067,858
100913,2024,192
100952,9612,455
100957,6183,371
100959,9094,163
100986,58855,986
101019,76779,1019
101028,22341,619
101039,72636,1039
101046,49819,1046
101049,69611,1049
101060,107076,1060
101087,60418,663
101130,73285,1130
101144,71944,1144
101153,77247,1153
101171,76628,1171
101178,78942,1178
101210,68778,168
101213,77274,1213
101373,61961,602
101398,36119,122
101409,77813,1409
101413,56174,474
101465,25151,529
101560,63891,1560
101615,70650,1522
101669,50878,1087
101700,37693,711
101716,57535,577
101726,16516,625
101742,4072,291
101748,67554,1174
101769,70918,545
101870,25526,413
101873,4543,661
101991,121154,1991
102022,27251,519
102147,6179,459
102186,26113,428
102267,162722,2267
102318,9578,178
102332,21723,660
102337,24616,485
102340,10942,70
102452,9315,228
102529,120529,1319
102542,7027,183
102594,149450,1002
102630,2987175,2630
102678,24750,836
102698,40902,459
102759,2603,251
102785,38821,635
102837,251225,1028
102845,33884,637
102909,1767,483
102934,158631,2934
102942,170531,2942
102960,824647,841
103095,49327,692
103148,38386,123
103183,3020,450
103192,34223,693
103249,77487,182
103258,1227133,1184
103274,849040,2967
103306,18501,802
103355,64021,1481
103382,65538,829
103393,69642,2611
103403,10264,246
103427,29828,679
103453,40839,1614
103477,135605,1122
103544,741,328
103559,59130,860
103563,9990,346
103603,43907,779
103687,51220,1470
103704,1396,404
103753,48277,711
103895,42414,789
104127,66904,2015
104135,71693,1158
104281,3831,437
104286,788222,4286
104345,21989,827
104353,43611,1426
104393,2240,462
104429,2689,63
104509,195434,1366
104535,4165,64
104599,9949,274
104650,22975,574
104669,67713,166
104688,5408961,4688
104898,71150,983
104958,2432983,2161
104973,77936,1595
104975,24844,645
105197,32564,795
105204,2017444,1862
105264,1486,393
105279,544394,577
105299,31165,1140
105442,8070,707
105629,67500,2731
105641,15507,105
105704,168064,265
105710,2712205,2449
105724,7931,373
105754,47679,1474
105781,71597,2308
105909,78524,3814
105914,38557,1813
105982,3622,324
106023,66712,746
106051,4051738,4040
106207,5272,389
106288,72601,976
106402,50853,885
106516,58671,855
106521,73829,2908
106641,104350,2063
106656,19392,512
106725,23780,892
106770,396882,6770
106859,11524,576
106904,68233,1169
106932,180071,1041
106967,22687,530
107004,91580,1381
107049,22222,600
107242,51174,154
107277,77543,856
107307,18908,704
107329,59469,2082
107351,13356,350
107372,889161,4637
107378,14360,548
107409,24523,632
107462,195169,4010
107586,23735,533
107634,158112,4323
107658,464337,6875
107755,8029,357
107787,8586,537
107828,69723,3601
107854,7622,417
107865,1110877,4284
107874,8312,385
107928,2909,424
107946,21076,764
107999,12387,523
108021,25726,522
108056,4911,563
108062,62664,984
108140,1469,382
108187,34474,426
108206,22769,717
108213,80188,1508
108220,571022,8220
108245,50411,1237
108273,987517,966
108279,49678,1348
108477,5240,310
108664,40993,631
108672,51935,167
108745,281,304
108755,139295,1228
108959,78143,2933
108970,465653,516
108983,14370,289
109019,3179,398
109129,531179,603
109141,231194,1421
109181,24766,624
109193,594,556
109203,52977,1215
109325,7247,525
109330,224,467
109348,36555,126
109367,24036,576
109377,175944,6312
109409,2811,546
109467,38472,1451
109485,1916,273
109783,17892,780
109877,48851,150
109897,4216299,6559
109935,44083,145
110039,237411,2099
110044,56086,975
110082,28443,738
110093,102381,5442
110103,103847,1699
110145,635232,10145
110315,175645,1617
110330,68361,168
110360,183757,1792
110368,789255,10368
110372,72649,2551
110381,77994,1158
110501,580315,10501
110524,22252,632
110552,19176,907
110778,4139,388
110853,4541381,7107
110869,163119,2029
111077,533633,11077
111171,75744,3801
111185,54203,743
111191,106725,199
111320,35407,625
111389,55710,904
111442,5180,516
111504,44699,1013
111521,7371088,6557
111578,107517,1033
111684,127694,1193
111712,1008312,10388
111782,65410,1813
111821,6212,411
111886,14728,829
111907,167585,1700
111941,7885,656
111947,9381,566
111953,5982,556
111960,32729,121
111961,14347,324
112134,75172,1110
112149,1831,62
112178,38438,124
112243,187133,7748
112281,604,416
112307,327554,1764
112356,538808,10513
112444,54147,1136
112446,44750,1623
112447,3180,398
112516,20482,624
112614,28812,1337
112646,910849,6744
112647,9716,800
112689,20099,719
112771,52000,959
112788,20542,771
112883,951,61
112886,8032,587
112908,21913,667
112926,1202115,1215
113044,26137,1127
113053,101974,3211
113133,25578,113
113167,18850,1045
113169,420847,8310
113209,53467,2537
113234,49461,1331
113295,29138,1200
113298,77688,1216
113352,11734,463
113362,586045,6873
113502,15090,838
113531,62446,1199
113587,14365,475
113590,9167,360
113720,26816,1052
113787,7545,396
113832,31267,726
113877,7910,493
113905,3994786,3667
113959,1117981,13959
113977,14524,387
114000,6934185,6560
114049,12595,741
114062,1615,333
114080,48640,996
114100,8481,731
114220,17236,977
114250,26445,796
114345,39367,803
114367,67468,1738
114556,3166,496
114637,7607,444
114640,8831,667
114671,62137,2572
114709,1208575,14709
114846,1444,516
114899,5496,608
114989,25591,651
114993,132315,1927
115016,9992,559
115030,3471,480
115088,406,560
115130,439298,10746
115157,56266,774
115183,45622,896
115291,918703,15221
115294,14532,567
115380,3662,588
115459,24172,115
115470,29680,718
115493,670897,11461
115536,4094,306
115590,853,419
115592,95353,189
115702,27814,853
115703,77956,952
115707,7766,469
115728,7481,580
115759,9704,341
115762,60112,3394
115777,183242,1811
115843,23445,653
115881,77712,4937
115899,7878,328
115909,23690,112
115929,3336112,4331
116018,26,442
116019,62635,1398
116229,77669,2906
116261,7725,353
116264,2676,471
116279,1068295,1048
116280,46815,1824
116317,5268,65
116318,346074,8643
116319,77372,804
116400,27010,678
116476,1685,594
116488,177878,1440
116530,58808,2494
116536,933024,15768
116556,4020,66
116567,8908,414
116594,22022,714
116606,753885,16606
116620,4394,65
116932,9987,370
116963,51870,852
116968,2401,449
117021,2465,63
117103,38975,634
117112,78213,962
117166,50266,1185
117221,571234,13570
117236,684207,17028
117241,72524,1714
117242,901928,17242
117370,35087,1307
117378,28622,818
117504,6161,445
117528,3649,474
117702,78880,985
117770,68712,1190
117778,380113,460
117814,65196,167
117840,77374,773
117930,146866,1190
117933,61103,2823
117935,197726,297
117975,58540,2023
118018,7825,341
118035,24512,112
118081,3905,682
118086,195368,1311
118109,14775,924
118157,1081956,13459
118173,9044,308
118301,1228012,10473
118359,7958,161
118378,61635,1172
118404,2553,481
118415,29581,1028
118418,54744,1018
118439,3992,463
118509,10487334,11734
118555,32189,688
118623,31649,1179
118624,26744,1082
118727,2738,373
118761,134989,6961
118829,294466,11789
118866,329824,6688
118875,13072,377
118904,86738,991
118940,18414,761
118972,18965,864
118995,2280,552
119010,7419,505
119024,28113,741
119041,9772,390
119091,2525640,2322
119222,31445,792
119229,7248,537
119256,161285,246
119274,5853,457
119305,9050,535
119380,1657609,1584
119410,51488,835
119793,70833,2439
119796,29557,721
119938,12849,425
119967,831770,19967
120091,24459,675
120154,56970,979
120155,5068,360
120215,6342787,7669
120236,1115,419
120320,1285987,20320
120353,687,332
120363,434914,10894
120368,12307,626
120418,25443,114
120468,24136,761
