CompletionTime_us,FlowSize_B,FCT_us
115881,26,305
115909,23690,111
115922,327554,5379
115936,1119600,15936
115937,870134,15937
116084,2676,291
116109,167585,5903
116186,46815,1731
116209,1685,327
116289,7725,381
116298,27010,576
116305,22022,426
116317,5268,65
116334,1008312,15010
116383,72524,856
116416,1068295,1185
116448,62635,1827
116451,8908,299
116498,3336112,4899
116530,1096012,16530
116554,4020,64
116568,77372,1053
116604,1208575,16604
116621,4394,66
116757,35087,695
116789,2401,271
116879,9987,318
117021,2465,63
117163,51870,1052
117189,346074,9515
117246,134989,5446
117264,61103,2154
117353,28622,792
117382,78213,1232
117396,3649,342
117412,6161,354
117457,38975,988
117589,58540,1636
117598,50266,1617
117611,1292044,17611
117724,132315,4659
117756,14775,572
117776,1652224,17776
117786,380113,468
117805,3905,406
117811,65196,165
117915,78880,1198
117934,197726,297
117989,586045,11501
118010,7825,333
118035,24512,112
118126,9044,261
118140,70833,785
118171,31649,728
118208,434914,8739
118233,68712,1653
118235,2553,312
118252,26744,710
118281,29581,894
118295,7958,98
118317,3992,340
118476,32189,609
118566,2738,212
118586,1285987,18586
118627,670897,14595
118754,18965,646
118760,76418,1567
118771,7419,266
118795,18414,616
118798,2280,355
118826,13072,328
118834,28113,551
118897,61635,1692
118910,118143,2821
118910,54744,1510
118941,9772,289
118956,31445,526
119025,7248,333
119028,86738,1115
119057,9050,287
119173,5853,356
119215,2525640,2446
119257,161285,247
119346,10487334,12571
119392,1657609,1596
119534,51488,959
119610,29557,534
119748,146866,3009
119767,12849,254
119894,56970,720
119915,24459,499
120066,12307,324
120099,25741,525
120129,5068,335
120144,1115,326
120184,23501,618
120199,24136,493
120291,687,269
120394,77374,3327
120421,25443,117
120562,183242,6596
120831,18293,516
120974,6342787,8428
121058,29379,684
121064,66369,1606
121075,3488,346
121160,1533544,21160
121160,28313,115
121189,30094,541
121191,28779,694
121203,56460,159
121264,16785,564
121294,1608912,21288
121305,581003,15317
121318,950204,21318
121337,22947,543
121365,12488,463
121465,3749,383
121528,44886,1149
121573,60329,1946
121627,732780,13427
121642,6602,250
121661,549,283
121672,492296,10053
121721,1347324,21721
121751,22004,551
121801,25747,114
121819,837,264
121852,329824,9675
121872,76714,2367
121995,21457,522
122010,54164,2209
122020,38021,1577
122144,69082,1619
122228,3719,343
122315,4406,313
122400,31085,732
122419,68127,1023
122512,74967,807
122539,3911,345
122633,177878,7585
122656,90258,2289
122659,1770720,18225
122685,48927,785
122686,8275,385
122746,174264,6033
122808,29201,536
122835,71376,757
122887,39447,998
122934,60861,1559
123108,6613,67
123124,58056,1632
123221,4086,287
123245,72696,3718
123396,9722,314
123418,73623,2351
123421,38513,1310
123440,25800,114
123470,26593,529
123529,23537,573
123537,6072,331
123594,527017,18669
123664,1298,343
123678,20734,111
123693,43966,145
123759,54865,1789
123796,148884,253
123936,31500,698
123986,10607,280
124038,44572,854
124078,9689,335
124188,71313,743
124188,155636,6468
124206,2324,242
124371,16898,560
124373,17331745,15917
124482,27874,796
124609,195368,7833
124634,23821,114
124693,9952,312
124723,19791,503
124740,28080,681
124789,54525,1345
124824,56695,1535
124902,9257,360
125072,566076,10857
125162,5175,283
125226,59770,2050
125334,6057,251
125352,8896197,13131
125385,70699,1790
125390,849040,25083
125406,1324503,1358
125417,44021,145
125420,1081956,20722
125552,33828,860
125559,55556,2304
125636,1611,296
125723,22335,521
125954,19812,532
125972,65185,1073
126015,11582,371
126019,1110877,22438
126272,15655,563
126274,69628,1243
126283,1056596,26283
126304,66943,2391
126341,2528,304
126345,11510,328
126419,2309,298
126435,14132,357
126455,95426,205
126549,18360,666
126563,13470,440
126659,48598,1189
126802,789152,892
126819,42728,952
126887,5769,383
126908,18396,585
126945,24467,655
126950,208386,7947
127022,14072,405
127054,60393,1716
127151,7174,260
127158,15528,461
127197,854,375
127248,166907,5240
127258,64989,2703
127263,9701,69
127368,64128,2160
127371,25809,871
127384,1462,305
127415,47627,1273
127578,685,350
127590,5144,316
127628,1683228,1640
127662,69086,2818
127684,29525,794
127774,721802,13920
127792,114125,3012
127816,18983,586
127836,1072888,19415
127882,4650,426
127920,23035,493
127921,8073,371
128011,33676,602
128067,41805,842
128199,42500,127
128231,3532,418
128314,48855,1059
128424,14582,363
128435,20957,587
128449,8397,308
128554,6548,310
128561,1965,390
128584,9892,378
128596,28096,621
128599,35489,122
128600,5072,383
128617,15252,628
128618,8712,436
128635,34416,758
128722,147679,245
128772,152506,241
128784,21215,758
128877,103680,2119
128950,1131747,23926
128985,137889,5998
129003,38887,1691
129030,51479,1602
129045,27703,1006
129083,57891,2614
129195,8326,332
129420,20504,109
129533,46106,1353
129536,61059,2132
129745,3402,318
129748,5615,362
129751,16737,636
129812,23231,593
129815,20773,485
129871,123573,5723
129913,6118,66
129958,58301,159
129978,89343,207
130062,32354,814
130075,99977,3734
130090,59766,1746
130145,69074,3038
130204,398602,12796
130215,44674,1064
130264,14775,588
130270,66143,1429
130311,194032,8099
130386,923,339
130410,53213,1971
130468,5554,516
130489,37737,1050
130512,33727,123
130535,38,301
130538,44390,858
130678,833426,18437
130708,31186,118
130714,6574,345
130890,1725942,29471
130894,72524,3835
130943,46989,1390
130952,78386,1512
131129,8565,318
131133,25958,841
131167,657921,774
131186,79905,3619
131188,4939,295
131198,5751,293
131265,38460,733
131415,29271,583
131430,151818,6820
131518,9822,366
131549,540700,666
131624,49385,1298
131675,39694,125
131688,13949,340
131691,31303,629
131794,39842,836
131808,8356,377
131819,73313,2659
131852,934,361
131926,51728,1401
131986,24677,543
132185,6547,373
132187,27025,542
132218,46967,1075
132223,6129,93
132279,52426,1366
132343,61609,2098
132352,16219,635
132500,1228012,24673
132519,120526,217
132540,1512,382
132588,9069,311
132592,37490,625
132630,8737,342
132651,51575,1945
132773,34125,1107
132835,2595309,2479
132896,46355,1493
132968,543590,17280
133024,59489,2734
133034,40484,763
133228,77560,1328
133256,1535856,30505
133274,22235,592
133278,23687,549
133329,79709,177
133429,119051,6177
133521,225136,7348
133590,397905,11124
133596,31271,779
133828,70596,1000
133845,132928,5568
133921,560199,18992
133938,3491,377
133977,8252,323
134015,41684,1446
134053,7239,361
134113,55616,1715
134162,39720,1197
134212,66833,1884
134231,44135,258
134258,224,390
134306,53039,1323
134332,1176,330
134382,17080,622
134525,5764,66
134621,41314,1173
134627,23856,660
134690,46700,1382
134700,1229915,1237
134846,77184,3666
134883,19371,593
135053,622947,22750
135162,4049,431
135174,4039,407
135189,40382,1567
135277,27510,844
135316,47109,1212
135496,26133,559
135565,11104,364
135597,45816,1267
135642,23332,759
135662,1260669,35662
135668,3818,279
135669,1693,306
135683,801992,865
135762,24259,115
135806,910849,29904
136029,1761300,35769
136122,54509,1962
136132,1843859,36132
136136,61295,1612
136259,804361,29022
136360,19009,610
136366,1267,344
136433,36527,1123
136437,1405439,1822
136464,23520,673
136583,67003,168
136594,290491,13191
136657,1441543,1495
136718,452649,15426
136748,857737,21478
136778,26376,488
136802,75981,2073
136859,78088,175
136936,154116,7367
136972,14790,621
137169,71168,2209
137237,72867,3166
137257,40054,1431
137344,54506,914
137419,8551,385
137503,5312,272
137550,296519,12045
137557,156837,7806
137582,61681,162
137790,4727,316
137805,5694534,5536
137974,41557,126
137984,43336,1665
138039,30302,803
138125,22462,702
138164,34679,1297
138209,52562,857
138264,176659,5978
138309,99843,195
138491,8972,478
138496,26684,901
138496,68943,2101
138558,24473,654
138575,147819,4202
138715,8213,390
138717,83951,6645
138813,6681,285
138830,24772,536
138854,5229,354
138903,73086,3093
138947,13234,292
138953,74468,2265
138954,27102,766
138981,440223,14112
139000,5760,444
139092,38512,1380
139207,3068,350
139294,434677,15528
139321,528372,21311
139339,1341589,35411
139349,8644,400
139394,485,352
139406,24837,496
139588,30771,620
139635,42332,916
139685,7337,318
139741,2032,63
139743,32645,708
139791,49969,1329
139841,9999,355
139870,34270,677
139885,56508,830
139895,65008,166
139972,23851,687
140142,15538,699
140205,38507,1338
140309,531,328
140311,1822407,28359
140345,118814,5953
140358,63435,166
140406,688350,819
140412,61230,3815
140442,18709,631
140539,44473,987
140564,4125,350
140567,11603571,11102
140622,8337,343
140627,2755,65
140634,4711,280
140634,1728,292
140728,3128,317
140729,38337,125
140844,52856,2146
140849,56582,2335
140892,15328,614
140919,66371,2547
141057,9830996,9474
141089,192061,8832
141115,2302,390
141150,208536,285
141242,2122,291
141261,31331,119
141340,359,291
141387,35672,574
141489,55123,2659
141569,141432,232
141617,134202,7945
141643,42105,1287
141649,40822,132
141686,15164,103
141688,72525,3916
141831,1934,332
141908,1880328,41908
141934,58284,2157
142004,23533,726
142037,97497,3669
142066,1666,432
142228,4740,312
142302,39618,1231
142330,61346,164
142438,4684413,4454
142446,38343,1385
142493,32222,121
142507,8232,459
142518,8522,367
142679,103331,201
142683,79964,4110
142726,156572,9112
142773,7802,384
142796,1217,494
142844,128623,7343
142867,132368,7251
142890,1365663,24936
142927,1599550,42110
142934,23244,594
142936,882183,951
142948,63007,188
143034,2144,64
143049,20212,634
143061,42635,1070
143062,603720,764
143117,8926,498
143154,88779,3279
143162,103033,4999
143164,45515,1539
143181,40419,1171
143253,129566,223
143361,197524,9401
143368,23293,667
143408,72747,3696
143410,686199,24984
143420,20630,109
143444,4096,64
143470,101678,2923
143522,61035,2615
143525,1150,386
143585,744159,990
143637,41234,917
143656,6415,345
143716,306760,10998
143717,42828,128
143726,52110,2519
143787,71400,170
143792,1357443,31189
143844,78984,4427
143881,35058,1098
143938,1201793,31697
143956,7256,380
144092,17522,589
