CompletionTime_us,FlowSize_B,FCT_us
100062,1415,62
100063,2600,63
100065,5018,65
100066,5944,66
100066,6123,66
100067,7331,67
100111,23138,111
100115,27837,115
100116,29658,116
100121,100,121
100139,1956,139
100140,2368,140
100158,54138,158
100162,4187,162
100162,1912,162
100162,4109,162
100167,66082,167
100169,4817,169
100177,6796,177
100177,4214,177
100185,7108,185
100192,6859,192
100196,6257,196
100214,8759,214
100220,9284,220
100235,9342,235
100240,11511,240
100259,10813,259
100285,13305,285
100328,16024,328
100345,21693,345
100352,23763,352
100362,23426,362
100366,18223,366
100369,14726,369
100399,28405,399
100407,19330,407
100412,23503,412
100447,28807,447
100461,23546,461
100471,23103,471
100485,26550,485
100487,46855,149
100502,9117,238
100517,35878,517
100520,25575,520
100533,37232,533
100551,37330,551
100553,35499,553
100554,526618,554
100591,32623,591
100605,30484,605
100606,28765,606
100626,38570,626
100627,9281,323
100658,9612,161
100687,45504,687
100696,14490,234
100726,26846,499
100752,6183,166
100756,22341,346
100765,46870,765
100791,47254,791
100867,49819,867
100872,2024,151
100874,60418,451
100882,53113,882
100888,48016,888
100950,78942,950
100953,53236,953
100965,50842,965
100984,63891,984
101051,9094,255
101066,73285,1066
101141,76628,1141
101209,68778,167
101209,76779,1209
101222,67554,647
101236,50878,654
101277,56174,338
101284,25151,348
101317,55225,1317
101324,75067,1324
101329,54970,1329
101334,77247,1334
101350,71944,1350
101367,69611,1367
101398,36119,122
101400,58855,1400
101416,72636,1416
101424,16516,323
101452,37693,463
101491,77274,1491
101534,4543,322
101561,57535,422
101602,4072,151
101621,77813,1621
101677,70918,453
101703,70650,1610
101739,25526,283
101851,27251,348
101922,107076,1922
101934,120529,724
101960,170531,1960
101968,6179,279
102077,21723,405
102112,26113,353
102184,162722,2184
102246,24616,395
102278,61961,1507
102305,24750,463
102340,10942,70
102348,9578,208
102389,64021,514
102419,9315,195
102463,121154,2463
102504,33884,296
102531,69642,1749
102566,7027,207
102575,38821,426
102583,1767,157
102612,158631,2612
102618,40839,779
102649,40902,410
102651,2987175,2651
102686,78524,591
102721,51220,503
102733,2603,225
102851,34223,353
102905,49327,502
102914,18501,410
102974,824647,856
103033,3020,300
103148,38386,124
103212,29828,463
103243,77487,177
103308,1227133,1233
103346,59130,647
103373,10264,216
103472,741,256
103474,9990,257
103635,1396,335
103642,43611,716
103651,66904,1539
103793,71693,815
103832,43907,1007
103966,21989,447
104056,67500,1158
104060,135605,1705
104132,42414,1026
104163,48277,1121
104184,65538,1630
104239,2240,308
104243,3831,400
104357,22975,281
104429,2689,63
104436,71150,521
104535,4165,64
104559,9949,235
104659,31165,500
104669,67713,166
104689,24844,359
104712,5408961,4712
104793,149450,3201
104798,77936,1419
104872,32564,470
104890,71597,1417
104974,8070,239
105037,2432983,2240
105099,38557,998
105133,1486,261
105206,2017444,1864
105294,544394,592
105477,73829,1864
105545,47679,1265
105565,7931,213
105609,69723,1381
105640,15507,104
105706,168064,267
105714,635232,5714
105731,2712205,2469
105794,4051738,3783
105906,3622,249
105937,158112,2626
105946,66712,669
105953,396882,5953
106040,5272,222
106188,50853,670
106336,72601,1024
106360,23780,527
106521,19392,377
106527,11524,244
106646,102381,1996
106650,180071,758
106688,78143,662
106806,22222,357
106813,22687,376
106830,59469,1583
106837,571022,6837
106861,58671,1200
106916,104350,2338
106935,18908,333
107047,14360,216
107205,91580,1583
107223,24523,446
107240,51174,152
107277,13356,276
107310,68233,1576
107375,80188,669
107460,49678,529
107480,195434,4338
107501,23735,448
107508,8586,257
107670,21076,488
107677,50411,669
107685,8029,286
107688,7622,250
107721,12387,245
107727,62664,649
107733,2909,228
107749,4911,256
107769,8312,280
107898,22769,409
107934,25726,435
107954,77543,1533
108021,1469,263
108234,34474,472
108293,987517,986
108340,5240,173
108409,571234,4759
108480,40993,448
108517,38472,502
108520,175944,5455
108606,789255,8606
108659,51935,154
108686,281,245
108795,72649,974
108821,187133,4326
108828,231194,1109
108836,3179,215
108927,594,290
108949,24766,392
108984,465653,530
108991,14370,297
109059,7247,259
109106,2811,243
109117,224,254
109119,531179,594
109133,24036,342
109199,103847,795
109346,36555,123
109371,17892,369
109486,1916,273
109488,889161,6752
109499,52977,1510
109544,139295,2017
109636,4216299,6297
109698,75744,2328
109781,28443,437
109798,195169,6347
109815,538808,7971
109878,48851,151
109935,44083,145
109970,464337,9188
110171,77994,948
110188,251225,8378
110228,19176,583
110237,788222,10237
110276,56086,1206
110334,68361,172
110340,1117981,10340
110368,22252,476
110496,101974,655
110529,163119,1690
110606,4139,216
111001,4541381,7255
111129,65410,1160
111177,127694,687
111191,106725,199
111201,5180,275
111266,54203,823
111276,35407,581
111392,53467,721
111428,55710,944
111448,44750,625
111497,7885,212
111502,14728,444
111612,5982,216
111622,9381,240
111692,75172,669
111717,44699,1225
111725,6212,315
111802,237411,3862
111807,7371088,6842
111866,14347,229
111959,32729,120
111978,533633,11978
111989,831770,11989
112018,28812,741
112149,1831,63
112173,604,308
112179,38438,125
112212,9716,366
112301,3180,252
112366,20482,474
112438,20099,467
112456,20542,440
112503,29138,408
112542,18850,420
112548,8032,248
112557,26137,640
112618,49461,715
112633,54147,1325
112669,21913,428
112810,77688,728
112821,327554,2277
112882,62137,783
112883,951,61
112940,1202115,1229
113061,62446,729
113107,107517,2562
113129,26816,461
113130,15090,467
113134,25578,113
113148,183757,4580
113195,52000,1383
113200,60112,833
113269,11734,381
113321,933024,12552
113398,14365,287
113463,439298,9079
113497,9167,267
113527,77712,2583
113610,31267,504
113622,12595,313
113669,7910,286
113688,48640,604
113709,8481,340
113719,420847,8860
113748,7545,357
113810,17236,566
113813,6934185,6373
113856,901928,13856
113869,3994786,3631
113885,14524,295
113891,684207,13683
113973,1615,244
114104,77669,781
114140,39367,598
114187,26445,733
114272,8831,299
114331,3166,271
114427,7607,233
114550,5496,259
114571,839807,14571
114606,1444,276
114730,58808,693
114744,9992,287
114752,406,224
114804,25591,465
114811,580315,14811
114831,67468,2201
114857,3471,307
115015,3662,223
115057,14532,330
115123,167585,4917
115178,62635,557
115207,27814,357
115367,29680,615
115416,7481,268
115430,45622,1143
115444,853,273
115456,24172,112
115466,7766,228
115504,77956,753
115569,4094,339
115590,23445,399
115594,95353,191
115715,46815,1260
115724,9704,306
115756,7878,185
115782,26,207
115838,132315,2772
115909,23690,111
115924,183242,1958
115995,2676,202
116046,56266,1663
116069,3336112,4471
116113,581003,10125
116147,1685,266
116171,77372,656
116213,22022,333
116294,1068295,1063
116317,5268,65
116347,7725,438
116411,72524,884
116437,27010,715
116448,8908,296
116554,4020,64
116565,1770720,12130
116620,4394,65
116766,2401,247
116799,35087,736
116816,9987,254
116957,51870,846
117021,2465,63
117048,329824,4871
117117,38975,648
117248,78213,1098
117249,58540,1296
117251,28622,691
117307,586045,10818
117312,6161,253
117379,3649,325
117435,78880,717
117490,61103,2380
117526,346074,9852
117536,753885,17536
117684,14775,500
117735,10487334,10960
117776,380113,459
117814,65196,167
117847,3905,448
117936,195368,1160
117936,197726,299
117966,7825,290
118028,29581,640
118035,24512,112
118053,50266,2073
118085,9044,220
118170,434914,8701
118171,31649,728
118176,2553,253
118205,26744,663
118276,3992,300
118345,7958,148
118550,86738,636
118566,2738,212
118593,32189,727
118601,18414,422
118619,155636,899
118633,18965,526
118660,61635,1454
118665,2280,222
118765,13072,266
118779,28113,495
118811,7419,305
118884,7248,192
118936,77374,1869
118974,9772,322
118989,70833,1635
119026,31445,596
119047,9050,277
119078,175645,10380
119101,527017,14176
119120,5853,304
119148,2525640,2379
119218,1008312,17894
119235,670897,15202
119264,76418,2071
119266,161285,255
119273,870134,19273
119380,68712,2799
119390,1657609,1594
119396,146866,2656
119490,54744,2091
119705,1652224,19705
119760,12849,248
119816,24459,399
119835,29557,759
119850,56970,675
119859,177878,4811
120000,25741,426
120000,51488,1426
120002,134989,8202
120018,12307,276
120064,23501,497
120115,5068,320
120151,1096012,20151
120152,1115,334
120213,24136,507
120241,66369,782
120241,687,220
120420,25443,116
120551,6342787,8005
