CompletionTime_us,FlowType,SizeBytes,FCT_us
113322,Mouse,4203,76
113325,Mouse,4582,75
113373,Mouse,5187,82
113390,Mouse,3609,71
113400,Elephant,212489,698
113422,Mouse,5552,80
113524,Mouse,4331,66
113599,Mouse,3842,72
113611,Mouse,5085,71
113665,Mouse,5244,70
113696,Mouse,3566,76
113709,Mouse,3911,77
113743,Mouse,3078,87
113791,Mouse,3232,95
113880,Elephant,169970,692
113936,Mouse,3623,90
114065,Elephant,64324,426
114097,Mouse,4227,92
114171,Mouse,4189,88
114176,Mouse,5652,88
114261,Mouse,3692,91
114360,Elephant,591568,1392
114388,Mouse,4261,80
114442,Mouse,3803,74
114445,Mouse,5387,76
114576,Elephant,458654,1244
114588,Mouse,4322,65
114604,Mouse,3442,68
114656,Mouse,3668,64
114668,Mouse,3360,64
114829,Mouse,4705,74
114840,Mouse,3615,66
114841,Mouse,4795,68
114929,Mouse,5366,66
114932,Mouse,3747,64
115035,Mouse,4443,70
115094,Mouse,5708,74
115148,Mouse,3270,74
115153,Elephant,58235,351
115183,Mouse,4606,75
115188,Mouse,3121,75
115200,Mouse,5064,77
115213,Mouse,3282,73
115241,Mouse,3170,76
115302,Mouse,3644,66
115333,Mouse,4521,74
115335,Elephant,377578,999
115403,Mouse,5279,68
115460,Mouse,5169,71
115545,Mouse,5048,66
115630,Mouse,4753,67
115682,Mouse,3313,67
115768,Mouse,3535,66
115815,Mouse,3292,65
115817,Mouse,4217,67
115915,Elephant,534980,1167
115972,Mouse,4942,65
115997,Mouse,3036,64
116101,Mouse,5518,66
116202,Mouse,3212,64
116255,Mouse,5729,66
116370,Mouse,3655,64
116473,Mouse,4972,65
116628,Mouse,4681,65
116677,Mouse,3744,64
116689,Mouse,4664,65
116741,Mouse,4190,64
116820,Mouse,5321,65
116875,Mouse,4027,64
116894,Mouse,4662,66
116944,Mouse,5246,71
116977,Mouse,5490,66
117031,Mouse,3263,65
117060,Mouse,5001,68
117065,Mouse,3296,67
117074,Mouse,3137,67
117220,Elephant,72650,368
117268,Mouse,5796,66
117290,Mouse,5678,71
117302,Elephant,128007,515
117308,Mouse,3805,64
117385,Mouse,3196,64
117437,Mouse,3558,65
117473,Mouse,4882,65
117518,Mouse,4182,65
117857,Mouse,5150,75
117913,Mouse,4823,76
117963,Mouse,5541,66
118076,Elephant,423777,1082
118157,Mouse,5435,66
118217,Mouse,5327,65
118239,Mouse,3644,64
118335,Mouse,4765,65
118352,Mouse,3842,64
118374,Mouse,4421,70
118465,Mouse,4584,69
118544,Mouse,4696,68
118558,Mouse,4390,70
118564,Mouse,4280,74
118717,Mouse,5177,75
118821,Mouse,4283,75
118864,Elephant,93746,488
118921,Mouse,3970,75
118924,Mouse,4726,79
118935,Mouse,5100,83
118999,Mouse,5656,85
119047,Elephant,225483,816
119078,Mouse,3375,87
119125,Mouse,3681,76
119154,Mouse,3426,68
119180,Mouse,4996,66
119234,Mouse,3725,69
119250,Mouse,3373,68
119273,Mouse,4585,70
119274,Mouse,3616,70
119287,Elephant,63978,362
119362,Mouse,5557,66
119395,Mouse,5592,68
119475,Mouse,5687,70
119541,Mouse,3683,67
119673,Mouse,5533,67
119722,Mouse,4384,73
119743,Mouse,4792,81
119745,Mouse,3389,82
119754,Elephant,555621,1239
119814,Mouse,5121,71
119943,Mouse,5168,67
119998,Mouse,3730,65
120001,Mouse,5657,67
120085,Mouse,5515,66
120163,Elephant,121157,515
120191,Mouse,4707,70
120262,Mouse,3141,64
120280,Elephant,177452,633
120344,Mouse,4403,69
120585,Mouse,4013,66
120596,Mouse,4868,66
120625,Mouse,3975,67
120796,Mouse,3753,67
120808,Mouse,4274,71
120892,Mouse,3390,67
120925,Elephant,133419,539
121009,Mouse,5253,69
121191,Mouse,4747,73
121233,Mouse,3225,72
121353,Elephant,545815,1162
121458,Mouse,5475,68
121466,Mouse,5219,65
121469,Mouse,4151,65
121513,Mouse,4667,66
121529,Mouse,5816,67
121543,Mouse,5369,74
121544,Mouse,5712,75
121669,Mouse,5221,65
121675,Mouse,4832,68
121770,Elephant,235219,739
121827,Mouse,4023,64
121884,Mouse,4831,65
121888,Mouse,4448,65
121950,Mouse,3461,64
122096,Mouse,3162,64
122120,Mouse,4651,65
122225,Mouse,5629,67
122227,Mouse,3900,66
122260,Mouse,5154,65
122304,Mouse,5297,66
122323,Mouse,3197,67
122356,Mouse,5190,65
122364,Mouse,4127,66
122428,Mouse,5558,67
122456,Mouse,4377,67
122612,Mouse,4578,65
122680,Elephant,281499,808
122743,Mouse,5329,65
122751,Mouse,5695,66
122765,Mouse,3632,64
122848,Mouse,4977,65
122876,Mouse,5178,65
122971,Mouse,3023,64
123008,Mouse,4207,67
123096,Mouse,5247,67
123107,Mouse,3494,68
123114,Mouse,5208,65
123149,Mouse,5141,70
123211,Mouse,3783,64
123353,Mouse,4380,68
123442,Mouse,5702,72
123442,Mouse,3361,70
123583,Mouse,4735,81
123597,Mouse,3924,82
123686,Mouse,5522,96
123709,Mouse,3574,89
123762,Elephant,261644,864
123767,Mouse,5712,93
123770,Mouse,3151,94
123778,Mouse,5406,98
123810,Elephant,167465,670
123829,Mouse,3909,85
123836,Elephant,259180,841
123853,Mouse,3357,82
124027,Mouse,5220,67
124076,Mouse,5472,69
124168,Mouse,4991,74
124171,Mouse,3602,66
124177,Mouse,3939,64
124247,Mouse,4540,72
124279,Mouse,4220,68
124298,Elephant,49707,299
124306,Mouse,3160,69
124333,Mouse,4433,66
124391,Elephant,168904,624
124406,Mouse,5782,66
124457,Mouse,3698,64
124537,Mouse,5354,65
124607,Mouse,5420,65
124730,Mouse,3806,67
124915,Mouse,5687,69
124935,Mouse,4208,64
125003,Mouse,5385,67
125067,Elephant,192996,663
125100,Mouse,3192,67
125129,Mouse,5577,66
125162,Mouse,4812,65
125169,Mouse,5042,65
125268,Elephant,95725,455
