CompletionTime_us,FlowType,SizeBytes,FCT_us
100074,Mouse,3393,74
100077,Mouse,4329,77
100080,Mouse,4939,80
100081,Mouse,5282,81
100091,Mouse,3661,64
100137,Mouse,5051,65
100152,Mouse,4864,65
100218,Mouse,3839,64
100274,Mouse,3335,66
100289,Mouse,3517,66
100306,Mouse,3015,64
100346,Mouse,4039,64
100381,Mouse,3242,72
100388,Mouse,4789,68
100516,Mouse,4241,66
100528,Mouse,4141,66
100556,Mouse,4113,72
100781,Mouse,3331,83
100802,Mouse,3085,88
100987,Mouse,4747,122
101147,Mouse,4320,145
101350,Mouse,3630,164
101358,Mouse,3404,167
101369,Mouse,3374,172
101389,Elephant,410860,1389
101466,Mouse,3491,188
101542,Mouse,5238,181
101561,Elephant,116043,890
101566,Mouse,4015,156
101644,Elephant,458632,1479
101681,Mouse,3342,119
101701,Mouse,4933,109
101745,Mouse,5153,98
101758,Mouse,4880,104
101821,Mouse,5657,105
101826,Mouse,3621,107
101883,Elephant,522395,1628
101891,Mouse,3571,103
101909,Mouse,5174,106
101950,Mouse,3664,84
101964,Mouse,5361,87
102084,Elephant,266048,1231
102165,Mouse,5467,66
102197,Mouse,4477,69
102234,Mouse,5194,69
102256,Mouse,4763,71
102297,Mouse,3939,73
102304,Mouse,4876,75
102304,Mouse,3122,69
102312,Mouse,3713,69
102315,Mouse,3648,69
102371,Elephant,310406,1195
102375,Mouse,3592,73
102388,Mouse,5426,66
102400,Mouse,3497,64
102623,Mouse,3782,67
102666,Mouse,5466,69
102695,Mouse,4788,72
102710,Mouse,5077,70
102755,Mouse,4075,69
102765,Elephant,126192,513
102870,Mouse,4379,69
102912,Elephant,185842,645
102965,Mouse,3361,67
103057,Mouse,4284,65
103100,Mouse,5257,69
103145,Mouse,4973,72
103214,Mouse,4928,65
103241,Mouse,4651,65
103358,Mouse,3047,67
103410,Mouse,4051,64
103430,Mouse,4739,65
103436,Mouse,5594,68
103460,Mouse,4270,65
103508,Mouse,4067,64
103671,Mouse,4748,69
103889,Elephant,425161,1131
103938,Mouse,3588,64
103953,Mouse,4302,65
104191,Mouse,4765,65
104196,Mouse,5158,65
104244,Mouse,4926,65
104323,Mouse,4942,68
104493,Mouse,4168,74
104567,Mouse,3543,69
104613,Mouse,4794,82
104643,Mouse,3800,89
104670,Mouse,3601,95
104689,Mouse,3027,102
104741,Mouse,4486,105
104766,Mouse,4342,115
104783,Elephant,184806,717
104816,Mouse,5064,114
104830,Mouse,4616,110
104841,Mouse,5087,114
105042,Elephant,211901,849
105106,Mouse,3275,67
105123,Elephant,205712,805
105282,Elephant,413470,1117
105393,Mouse,3790,64
105477,Mouse,3717,64
105487,Mouse,3156,64
105530,Mouse,5151,65
105546,Mouse,5549,66
105578,Mouse,3275,64
105747,Mouse,5505,66
105801,Mouse,3656,64
105835,Mouse,3210,64
105992,Mouse,5134,71
105996,Mouse,3672,72
106081,Mouse,3325,64
106115,Mouse,4660,74
106120,Mouse,3858,76
106130,Mouse,3464,80
106142,Mouse,3332,83
106193,Mouse,4476,81
106221,Mouse,3659,85
106236,Mouse,4294,84
106298,Mouse,3501,87
106449,Mouse,3819,108
106522,Mouse,3651,124
106530,Mouse,3284,125
106669,Elephant,211843,877
106724,Mouse,4144,150
106749,Mouse,4175,145
106767,Mouse,3606,145
106817,Mouse,5458,151
106860,Mouse,5838,149
107077,Mouse,5674,165
107116,Elephant,385581,1385
107119,Mouse,3574,173
107125,Mouse,3288,165
107194,Mouse,5342,159
107205,Mouse,3361,153
107206,Mouse,5399,156
107214,Mouse,5568,155
107225,Mouse,5435,159
107247,Mouse,5551,162
107314,Elephant,396504,1495
107357,Mouse,3682,108
107372,Mouse,3075,108
107559,Mouse,3083,111
107653,Elephant,359211,1603
107695,Mouse,3071,116
107757,Mouse,5048,104
107822,Mouse,4603,107
107918,Mouse,5126,110
108034,Mouse,3706,86
108095,Mouse,3571,97
108140,Elephant,437240,1772
108279,Elephant,558490,1990
108280,Elephant,217505,950
108303,Mouse,4042,69
108323,Mouse,4091,78
108335,Mouse,4227,64
108377,Mouse,5492,66
108381,Mouse,4904,69
108409,Mouse,4963,65
108479,Elephant,52843,332
108601,Mouse,4410,65
108604,Mouse,3950,65
108611,Mouse,3914,64
108766,Mouse,3057,64
108830,Mouse,5125,65
108911,Mouse,4479,65
108918,Mouse,3328,64
108955,Mouse,5169,66
108974,Mouse,5050,65
109041,Mouse,5626,70
109083,Mouse,4279,69
109174,Mouse,3883,64
109220,Mouse,3824,66
109329,Mouse,5286,74
109364,Mouse,4150,78
109382,Mouse,3026,77
109415,Mouse,4862,84
109533,Mouse,5494,96
109597,Mouse,4059,109
109812,Mouse,3467,128
109849,Mouse,3404,133
109927,Mouse,3514,150
109952,Mouse,3924,152
109999,Elephant,521384,1379
110031,Mouse,4567,164
110078,Mouse,5066,148
110108,Mouse,5568,147
110160,Mouse,3865,127
110397,Mouse,3262,165
110509,Elephant,278986,1321
110527,Elephant,584938,1713
110531,Mouse,4141,162
110584,Mouse,4839,147
110642,Mouse,5207,111
110645,Mouse,3025,111
110728,Mouse,5416,105
110776,Mouse,4634,116
110788,Elephant,300421,1426
110830,Mouse,3326,95
110873,Mouse,3374,73
110883,Mouse,3051,78
110922,Mouse,3574,83
111036,Mouse,3765,102
