CompletionTime_us,FlowType,SizeBytes,FCT_us
100074,Mouse,3393,74
100077,Mouse,4329,77
100080,Mouse,4939,80
100081,Mouse,5282,81
100091,Mouse,3661,64
100137,Mouse,5051,65
100152,Mouse,4864,65
100218,Mouse,3839,64
100274,Mouse,3335,66
100287,Mouse,3517,65
100306,Mouse,3015,64
100340,Mouse,4087,64
100346,Mouse,4039,64
100377,Mouse,3242,68
100386,Mouse,4789,65
100467,Mouse,5320,65
100515,Mouse,4241,64
100528,Mouse,4141,66
100553,Mouse,4113,70
100693,Mouse,5660,69
100768,Mouse,3331,69
100783,Mouse,3085,69
100849,Mouse,4696,79
100947,Mouse,4747,81
101095,Mouse,4320,92
101280,Mouse,3630,94
101288,Mouse,3404,98
101299,Mouse,3374,102
101363,Elephant,116043,691
101395,Mouse,3491,117
101416,Elephant,458632,1252
101451,Mouse,5238,90
101477,Mouse,4015,67
101630,Mouse,3342,67
101715,Mouse,5153,68
101728,Mouse,4880,73
101797,Mouse,5657,81
101800,Mouse,3621,81
101861,Mouse,3571,72
101877,Mouse,5174,74
101888,Mouse,5789,83
101949,Mouse,3664,83
101964,Mouse,5361,87
102029,Elephant,522395,1774
102145,Elephant,266048,1292
102170,Mouse,5467,70
102193,Mouse,4477,65
102232,Mouse,5194,68
102235,Mouse,4773,68
102293,Mouse,3939,69
102296,Mouse,4876,68
102301,Mouse,3122,67
102307,Mouse,3713,64
102310,Mouse,3648,65
102367,Mouse,3592,65
102401,Mouse,3497,65
102624,Mouse,3782,67
102666,Mouse,5466,69
102710,Mouse,5077,70
102752,Mouse,4075,66
102764,Elephant,126192,512
102869,Mouse,4379,68
102914,Elephant,185842,648
102968,Mouse,3361,70
103059,Mouse,4284,67
103101,Mouse,5257,70
103149,Mouse,4973,76
103214,Mouse,4928,65
103355,Mouse,3047,65
103430,Mouse,4739,65
103435,Mouse,5594,67
103464,Mouse,4270,69
103513,Mouse,4067,69
103668,Mouse,4748,66
103788,Elephant,425161,1030
103939,Mouse,3588,64
103953,Mouse,4302,65
104191,Mouse,4765,65
104196,Mouse,5158,65
104244,Mouse,4926,65
104323,Mouse,4942,68
104493,Mouse,4168,74
104567,Mouse,3543,69
104613,Mouse,4794,82
104643,Mouse,3800,89
104670,Mouse,3601,95
104686,Mouse,3027,100
104732,Mouse,4486,96
104791,Mouse,5064,89
104806,Mouse,4616,86
104806,Elephant,184806,740
104813,Mouse,5087,86
105075,Elephant,211901,882
105110,Mouse,3275,72
105194,Elephant,205712,876
105396,Mouse,3790,67
105480,Mouse,3717,67
105490,Mouse,3156,67
105492,Elephant,413470,1326
105531,Mouse,5151,66
105546,Mouse,5549,66
105578,Mouse,3275,64
105747,Mouse,5505,66
105801,Mouse,3656,64
105835,Mouse,3210,64
105992,Mouse,5134,71
105996,Mouse,3672,72
106081,Mouse,3325,64
106115,Mouse,4660,74
106120,Mouse,3858,76
106130,Mouse,3464,80
106142,Mouse,3332,83
106191,Mouse,4476,78
106218,Mouse,3659,81
106231,Mouse,4294,80
106295,Mouse,3501,84
106417,Mouse,3819,76
106486,Mouse,3651,88
106491,Mouse,3284,87
106680,Mouse,4144,105
106711,Mouse,4175,108
106716,Mouse,3606,94
106755,Mouse,5458,89
106794,Mouse,5838,83
106916,Elephant,211843,1124
106989,Mouse,5674,78
107020,Mouse,3574,74
107037,Mouse,3288,77
107125,Mouse,5342,90
107142,Mouse,3361,90
107155,Mouse,5568,96
107166,Mouse,5435,99
107195,Mouse,5551,110
107225,Elephant,385581,1494
107314,Mouse,3682,65
107315,Elephant,396504,1496
107336,Mouse,3075,72
107517,Mouse,3083,69
107646,Mouse,3071,67
107725,Mouse,5048,72
107789,Mouse,4603,74
107890,Mouse,5126,82
108036,Mouse,3706,89
108096,Mouse,3571,98
108123,Elephant,217505,792
108230,Elephant,558490,1942
108304,Mouse,4042,70
108311,Mouse,4091,66
108338,Mouse,4227,67
108380,Mouse,5492,69
108388,Mouse,4904,77
108409,Mouse,4963,65
108475,Elephant,52843,328
108602,Mouse,4410,66
108605,Mouse,3950,66
108612,Mouse,3914,65
108767,Mouse,3057,65
108832,Mouse,5125,67
108912,Mouse,4479,66
108918,Mouse,3328,64
108974,Mouse,5050,65
109042,Mouse,5626,70
109085,Mouse,4279,71
109175,Mouse,3883,66
109224,Mouse,3824,71
109327,Mouse,5286,73
109362,Mouse,4150,75
109383,Mouse,3026,78
109413,Mouse,4862,81
109530,Mouse,5494,92
109575,Mouse,4059,87
109725,Mouse,4925,88
109781,Mouse,3467,97
109816,Mouse,3404,100
109883,Mouse,3514,106
109909,Mouse,3924,109
109970,Mouse,4567,102
110024,Mouse,5066,94
110044,Elephant,521384,1424
110051,Mouse,5568,90
110117,Mouse,3865,83
110295,Elephant,278986,1107
110325,Mouse,3262,92
110449,Mouse,4141,80
110521,Mouse,4839,83
110633,Mouse,5827,105
110637,Mouse,5207,107
110645,Mouse,3025,110
110693,Elephant,584938,1879
110717,Mouse,5416,94
110740,Mouse,4634,80
110763,Mouse,4608,69
110800,Mouse,3326,65
110837,Elephant,297625,1110
110867,Mouse,3374,67
110874,Mouse,3051,69
110906,Mouse,3574,67
110933,Mouse,4035,64
111002,Mouse,3765,68
111063,Mouse,5745,76
111082,Mouse,5379,75
111162,Mouse,5830,84
